Please hold the phone in your left hand and type with your left thumb
o	1514235	(572, 75)	[(-36, 396, 972), (-36, 396, 936), (-18, 414, 936), (18, 414, 954), (54, 414, 972), (72, 396, 936), (72, 432, 918), (72, 432, 882), (108, 414, 882), (126, 414, 936), (144, 414, 990), (162, 414, 918), (180, 432, 882), (180, 414, 864), (180, 414, 900), (198, 414, 990), (234, 432, 972), (216, 414, 954), (180, 450, 900), (162, 468, 864), (162, 468, 900), (162, 468, 918), (180, 468, 864), (180, 450, 900), (180, 468, 936)]	(9367, 10943, 9898, 10126, 11446, 9494, 5893, 7000, 5282, 6792, 5740, 7801, 5328, 6194, 7655, 6917, 12334, 21168, 15684, 8789, 15795, 13755, 13097, 1966)
k	1514642	(644, 104)	[(180, 414, 864), (180, 414, 900), (198, 414, 990), (234, 432, 972), (216, 414, 954), (180, 450, 900), (162, 468, 864), (162, 468, 900), (162, 468, 918), (180, 468, 864), (180, 450, 900), (180, 468, 936), (180, 486, 918), (162, 486, 900), (180, 504, 918), (180, 486, 864), (162, 486, 828), (162, 468, 972), (180, 468, 900), (162, 468, 900), (144, 468, 900), (162, 468, 900), (144, 486, 918), (162, 504, 882), (126, 486, 882)]	(9366, 10920, 9869, 10118, 11454, 9503, 5985, 7130, 5521, 6804, 5765, 7814, 5354, 6204, 7816, 6900, 12416, 21340, 15165, 8796, 15762, 13773, 13105, 1970)
a	1515300	(663, 428)	[(108, 486, 954), (90, 486, 936), (126, 486, 900), (126, 468, 810), (90, 450, 810), (54, 342, 1044), (18, 342, 1098), (-90, 342, 1062), (-126, 324, 1080), (-198, 324, 1134), (-180, 324, 1134), (-108, 342, 1026), (-126, 360, 990), (-126, 360, 972), (-108, 342, 954), (-90, 324, 972), (-90, 324, 954), (-72, 324, 972), (-90, 342, 972), (-90, 342, 972), (-90, 342, 972), (-72, 342, 936), (-18, 324, 954), (-36, 306, 990), (-36, 306, 990)]	(9341, 10542, 9375, 9963, 11400, 9417, 5917, 7262, 8298, 6832, 5946, 9135, 7454, 6600, 8372, 7043, 13756, 20503, 14380, 8840, 15545, 13878, 12649, 1958)
y	1515791	(581, 228)	[(-90, 342, 972), (-90, 342, 972), (-90, 342, 972), (-72, 342, 936), (-18, 324, 954), (-36, 306, 990), (-36, 306, 990), (-90, 378, 1008), (-72, 360, 1008), (-72, 378, 954), (18, 342, 990), (54, 342, 1008), (54, 360, 972), (72, 360, 936), (108, 360, 918), (90, 378, 864), (90, 396, 900), (72, 414, 918), (90, 414, 936), (54, 414, 954), (54, 414, 990), (54, 432, 972), (54, 468, 954), (54, 468, 900), (72, 432, 882)]	(9341, 10697, 9566, 10022, 11415, 9461, 6475, 7188, 7133, 6826, 5928, 8998, 6106, 6482, 8210, 6981, 13415, 20786, 14689, 8815, 15642, 13776, 12824, 1972)
 	1516247	(818, 254)	[(90, 396, 900), (72, 414, 918), (90, 414, 936), (54, 414, 954), (54, 414, 990), (54, 432, 972), (54, 468, 954), (54, 468, 900), (72, 432, 882), (90, 432, 918), (90, 432, 954), (108, 432, 936), (108, 432, 900), (72, 450, 900), (72, 414, 1008), (90, 378, 954), (90, 360, 990), (90, 396, 972), (72, 396, 936), (54, 414, 918), (36, 414, 936), (36, 432, 936), (54, 432, 918), (18, 414, 954), (0, 432, 990)]	(9339, 10652, 9559, 9988, 11422, 9471, 6430, 7241, 7331, 6841, 5925, 8863, 5887, 6489, 8445, 6988, 13552, 20780, 14530, 8820, 15606, 13799, 12809, 1963)
t	1516706	(562, 272)	[(90, 360, 990), (90, 396, 972), (72, 396, 936), (54, 414, 918), (36, 414, 936), (36, 432, 936), (54, 432, 918), (18, 414, 954), (0, 432, 990), (36, 414, 1008), (36, 414, 1026), (0, 450, 936), (54, 414, 972), (72, 414, 954), (90, 414, 954), (108, 432, 954), (90, 414, 918), (90, 414, 882), (108, 450, 900), (108, 450, 954), (108, 414, 990), (108, 414, 990), (108, 432, 954), (90, 432, 936), (90, 468, 900)]	(9350, 10672, 9602, 10022, 11411, 9451, 6564, 7027, 6974, 6818, 5945, 8736, 5929, 6434, 8252, 6981, 13386, 20837, 14615, 8813, 15619, 13771, 12816, 1965)
h	1517045	(659, 205)	[(0, 450, 936), (54, 414, 972), (72, 414, 954), (90, 414, 954), (108, 432, 954), (90, 414, 918), (90, 414, 882), (108, 450, 900), (108, 450, 954), (108, 414, 990), (108, 414, 990), (108, 432, 954), (90, 432, 936), (90, 468, 900), (90, 468, 864), (90, 450, 900), (72, 450, 936), (72, 486, 990), (54, 468, 990), (72, 468, 954), (90, 468, 900), (72, 468, 936), (72, 450, 936), (90, 468, 882), (54, 450, 882)]	(9345, 10682, 9629, 10021, 11423, 9466, 6665, 7051, 6817, 6835, 5941, 8726, 5869, 6429, 8276, 6973, 13367, 20868, 14650, 8811, 15633, 13775, 12847, 1965)
a	1517601	(656, 428)	[(90, 468, 900), (72, 468, 936), (72, 450, 936), (90, 468, 882), (54, 450, 882), (54, 486, 900), (36, 504, 990), (18, 486, 990), (36, 468, 936), (72, 432, 846), (72, 342, 990), (18, 324, 1116), (18, 324, 1098), (90, 324, 1080), (-108, 324, 1026), (-198, 306, 1044), (-72, 360, 990), (-72, 360, 954), (-72, 342, 954), (-72, 324, 918), (-54, 342, 936), (-72, 378, 954), (-90, 378, 972), (-72, 396, 1026), (-54, 378, 1044)]	(9334, 10547, 9410, 9973, 11409, 9463, 6736, 7328, 8175, 6872, 5973, 9224, 6317, 6601, 8006, 7045, 14043, 20323, 14448, 8879, 15610, 14017, 12600, 1946)
n	1518093	(739, 156)	[(-72, 342, 954), (-72, 324, 918), (-54, 342, 936), (-72, 378, 954), (-90, 378, 972), (-72, 396, 1026), (-54, 378, 1044), (-36, 360, 936), (54, 324, 1062), (18, 342, 990), (18, 378, 954), (18, 378, 990), (0, 396, 972), (18, 414, 936), (18, 432, 918), (18, 432, 918), (36, 432, 936), (36, 432, 936), (54, 414, 936), (72, 414, 954), (72, 396, 972), (90, 414, 972), (108, 432, 936), (90, 414, 972), (90, 450, 918)]	(9337, 10638, 9538, 9991, 11423, 9470, 6948, 6804, 6582, 6828, 5965, 8735, 5606, 6300, 7602, 6960, 13410, 20400, 14877, 8825, 15723, 13962, 12756, 1960)
k	1518401	(663, 109)	[(18, 378, 954), (18, 378, 990), (0, 396, 972), (18, 414, 936), (18, 432, 918), (18, 432, 918), (36, 432, 936), (36, 432, 936), (54, 414, 936), (72, 414, 954), (72, 396, 972), (90, 414, 972), (108, 432, 936), (90, 414, 972), (90, 450, 918), (90, 450, 918), (90, 432, 918), (126, 432, 954), (90, 450, 936), (108, 468, 918), (126, 432, 900), (108, 486, 918), (108, 486, 900), (90, 486, 936), (144, 522, 882)]	(9350, 10665, 9641, 10013, 11431, 9481, 7151, 6664, 5980, 6826, 5970, 8264, 5423, 6235, 7497, 6943, 13115, 20378, 15248, 8818, 15778, 13959, 12789, 1967)
