Please hold the phone in your left hand and type with your left thumb
n	882200	(763, 158)	[(0, 702, 828), (54, 666, 792), (144, 576, 864), (180, 522, 918), (126, 576, 846), (72, 612, 900), (36, 702, 810), (-54, 828, 648), (-36, 828, 594), (36, 792, 558), (18, 792, 558), (-54, 828, 630), (-72, 828, 810), (-90, 882, 666), (-18, 882, 576), (18, 846, 576), (72, 810, 594), (90, 756, 666), (108, 720, 702), (72, 756, 738), (36, 774, 702), (18, 810, 648), (36, 828, 666), (36, 828, 702), (36, 810, 756)]	(9401, 10566, 9280, 10203, 11525, 9631, 9432, 6189, 8866, 7374, 6765, 6633, 5581, 7105, 8470, 7261, 12953, 19958, 14875, 9162, 16944, 14128, 12042, 2002)
a	883581	(659, 469)	[(-36, 756, 774), (-72, 720, 810), (-72, 720, 810), (-72, 738, 774), (-108, 774, 720), (0, 738, 702), (36, 648, 738), (0, 594, 756), (-18, 594, 864), (0, 612, 918), (18, 648, 846), (18, 684, 792), (-18, 666, 828), (-108, 684, 918), (-90, 684, 900), (-36, 666, 828), (-54, 648, 846), (-54, 666, 828), (0, 648, 810), (-36, 648, 774), (36, 666, 756), (-54, 684, 756), (-36, 684, 864), (-18, 684, 864), (-36, 648, 828)]	(9427, 10683, 9358, 10261, 11512, 9572, 8027, 5881, 8898, 7326, 6094, 6306, 5325, 7973, 8211, 7593, 13389, 19807, 14498, 9191, 16387, 13970, 11986, 1987)
i	884867	(589, 135)	[(-36, 684, 846), (-36, 666, 882), (0, 684, 756), (-72, 756, 666), (-54, 792, 648), (-90, 792, 612), (-54, 792, 648), (-54, 828, 702), (-90, 846, 756), (-72, 792, 774), (-18, 756, 702), (0, 756, 666), (-36, 792, 720), (-54, 774, 810), (0, 756, 792), (36, 774, 684), (18, 792, 612), (-54, 810, 720), (-72, 810, 756), (-54, 792, 720), (-36, 810, 666), (-36, 810, 648), (-36, 810, 684), (-36, 792, 684), (18, 774, 648)]	(9420, 10597, 9285, 10245, 11526, 9625, 9578, 6280, 7680, 7325, 6839, 7133, 5168, 7788, 8535, 7441, 13740, 19931, 15237, 9200, 16890, 14119, 12010, 2007)
e	886295	(568, 349)	[(18, 756, 720), (18, 756, 756), (18, 756, 738), (-18, 774, 684), (0, 774, 738), (-54, 774, 810), (-54, 756, 846), (-36, 756, 738), (-36, 792, 684), (0, 756, 756), (-36, 720, 774), (-36, 738, 738), (-36, 774, 738), (-54, 756, 720), (-36, 738, 738), (0, 720, 756), (-54, 738, 756), (-54, 756, 756), (-54, 738, 756), (-54, 756, 738), (-72, 774, 738), (-72, 756, 774), (-36, 738, 738), (0, 738, 738), (-18, 720, 756)]	(9423, 10609, 9353, 10228, 11508, 9605, 9246, 5952, 8771, 7173, 6553, 6355, 5305, 7467, 8252, 7453, 13680, 19906, 14748, 9220, 16727, 14141, 12025, 1986)
p	887818	(589, 24)	[(-54, 792, 738), (0, 774, 738), (36, 774, 738), (54, 738, 774), (18, 702, 810), (0, 738, 810), (-18, 756, 792), (0, 810, 612), (-108, 882, 432), (-36, 954, 360), (-216, 990, 252), (-216, 972, 450), (-108, 918, 594), (-90, 900, 702), (-72, 936, 666), (-36, 936, 558), (72, 900, 522), (72, 900, 486), (90, 864, 540), (144, 846, 522), (108, 882, 558), (90, 900, 612), (18, 990, 396), (36, 936, 558), (90, 936, 612)]	(9421, 10467, 9198, 10230, 11475, 9526, 9063, 6085, 8372, 7000, 6170, 6856, 4945, 7590, 7416, 7385, 12457, 19982, 16100, 9247, 17245, 14269, 12037, 1993)
u	889233	(586, 172)	[(-90, 756, 792), (-72, 774, 720), (-54, 774, 756), (-36, 756, 810), (18, 720, 810), (54, 702, 792), (54, 720, 756), (0, 810, 630), (-18, 864, 504), (0, 882, 468), (18, 882, 558), (36, 810, 630), (54, 810, 630), (36, 828, 630), (36, 846, 612), (36, 828, 684), (36, 828, 720), (54, 810, 666), (36, 810, 630), (54, 810, 612), (18, 846, 612), (0, 828, 684), (18, 828, 648), (18, 846, 612), (36, 846, 648)]	(9430, 10462, 9310, 10192, 11492, 9678, 9778, 6201, 7485, 7264, 7525, 6971, 5146, 8190, 8447, 7553, 13663, 19912, 15003, 9164, 16688, 14063, 12014, 1996)
k	890508	(673, 108)	[(18, 756, 756), (36, 774, 756), (18, 702, 756), (-36, 702, 774), (-72, 756, 756), (-72, 774, 738), (-36, 792, 774), (-36, 810, 756), (-108, 882, 594), (-162, 954, 486), (-144, 954, 450), (-54, 900, 540), (36, 846, 594), (36, 846, 630), (18, 864, 594), (-36, 846, 540), (-36, 900, 486), (36, 918, 504), (18, 828, 450), (-54, 936, 504), (-90, 936, 576), (0, 900, 612), (18, 900, 666), (36, 900, 612), (54, 882, 540)]	(9404, 10401, 9240, 10123, 11470, 9629, 9352, 6142, 7827, 7212, 7579, 7367, 5179, 7381, 8319, 7359, 12769, 19923, 15123, 9096, 16835, 14042, 12017, 1980)
m	891737	(754, 106)	[(-72, 828, 720), (-72, 810, 756), (-54, 792, 702), (-36, 792, 684), (-72, 792, 720), (-72, 774, 720), (-72, 792, 702), (-54, 810, 684), (-72, 792, 720), (-54, 792, 756), (0, 756, 756), (-54, 774, 720), (0, 774, 666), (-18, 810, 666), (18, 810, 684), (0, 792, 792), (54, 756, 828), (18, 792, 702), (36, 810, 612), (-54, 918, 468), (-72, 936, 486), (-36, 900, 486), (54, 828, 594), (108, 774, 666), (18, 900, 594)]	(9414, 10390, 9231, 10131, 11464, 9635, 9088, 6141, 7605, 7207, 7826, 7320, 5057, 7332, 8499, 7351, 13364, 19936, 14915, 9091, 16760, 14066, 12021, 1940)
g	893146	(658, 241)	[(18, 810, 720), (-36, 828, 666), (-36, 846, 648), (-54, 846, 684), (-54, 864, 648), (-72, 846, 576), (-72, 864, 594), (-54, 846, 594), (-54, 864, 666), (-90, 864, 702), (18, 810, 684), (54, 774, 648), (18, 792, 648), (-36, 828, 738), (18, 792, 720), (18, 792, 684), (-36, 828, 684), (-36, 810, 702), (-36, 828, 756), (0, 792, 738), (18, 792, 702), (18, 792, 666), (36, 792, 684), (36, 774, 684), (54, 756, 648)]	(9410, 10423, 9282, 10170, 11484, 9698, 9364, 6085, 7961, 7164, 7554, 6576, 5103, 7837, 8228, 7504, 13625, 19894, 14695, 9152, 16454, 14065, 12020, 1990)
b	894634	(751, 196)	[(0, 846, 576), (-36, 900, 540), (-18, 828, 630), (-54, 828, 756), (-18, 828, 792), (-36, 792, 774), (54, 774, 720), (36, 738, 738), (54, 756, 702), (0, 756, 702), (-36, 828, 648), (-36, 828, 630), (18, 792, 630), (18, 810, 648), (18, 792, 684), (18, 792, 738), (36, 792, 756), (36, 774, 720), (36, 792, 702), (0, 810, 702), (0, 828, 684), (0, 810, 702), (18, 810, 666), (18, 810, 648), (0, 846, 666)]	(9402, 10440, 9278, 10150, 11494, 9676, 9431, 6110, 8449, 7223, 7253, 6505, 5247, 7995, 8331, 7458, 13511, 19874, 14635, 9122, 16361, 14012, 12004, 1967)
