Please hold the phone in your right hand and type with you right thumb
q	10615	(586, 449)	[(18, 864, 684), (-54, 864, 576), (-90, 882, 612), (-108, 846, 666), (-90, 828, 738), (-54, 828, 594), (-72, 810, 486), (54, 864, 594), (54, 936, 702), (90, 972, 720), (18, 918, 630), (18, 828, 522), (0, 846, 594), (0, 846, 630), (0, 864, 594), (0, 846, 612), (18, 864, 612), (36, 846, 648), (0, 846, 540), (-36, 882, 612), (18, 864, 684), (0, 864, 612), (90, 882, 738), (36, 846, 594), (0, 828, 450)]	(9425, 12045, 10344, 10632, 11663, 12564, 4564, 6597, 4281, 6998, 5612, 6736, 4821, 6491, 7351, 7209, 11185, 19726, 15415, 8910, 16081, 13361, 12142, 2025)
h	12962	(680, 187)	[(-54, 774, 720), (-54, 756, 666), (-54, 756, 648), (-72, 756, 684), (-36, 774, 738), (-36, 792, 738), (-54, 774, 684), (-90, 774, 774), (-72, 774, 702), (-54, 774, 684), (-72, 774, 666), (-72, 774, 684), (-54, 792, 684), (-72, 774, 720), (-72, 774, 702), (-36, 774, 738), (-54, 774, 720), (-108, 792, 684), (-72, 792, 666), (-108, 792, 702), (-108, 792, 756), (-108, 792, 684), (-126, 774, 666), (-108, 756, 648), (-54, 756, 702)]	(9420, 11662, 9852, 10275, 11803, 14020, 4788, 6946, 4368, 7348, 5849, 6939, 5111, 7557, 8101, 7514, 11221, 19726, 14964, 8834, 15585, 13286, 12126, 2025)
t	14541	(600, 273)	[(-54, 774, 702), (-90, 774, 702), (-54, 792, 720), (-54, 774, 684), (-54, 792, 666), (-54, 774, 702), (-54, 792, 720), (-90, 792, 684), (-72, 792, 630), (-54, 792, 666), (-72, 774, 684), (-72, 792, 702), (-36, 792, 702), (-72, 792, 648), (-36, 792, 684), (-36, 792, 666), (-54, 774, 612), (-54, 828, 738), (-108, 792, 684), (-90, 792, 792), (-54, 792, 792), (-54, 846, 738), (-72, 810, 666), (-90, 756, 576), (-54, 774, 540)]	(9419, 11770, 9834, 10214, 11768, 13734, 4696, 6661, 4265, 7254, 5777, 6782, 4896, 6784, 7778, 7456, 11164, 19724, 15125, 8849, 15652, 13305, 12122, 2032)
u	16139	(589, 163)	[(-54, 774, 630), (-90, 774, 720), (-108, 756, 720), (-90, 774, 684), (-72, 792, 684), (-36, 810, 702), (-54, 774, 684), (-36, 792, 630), (-54, 792, 684), (-72, 792, 756), (-72, 792, 738), (-72, 774, 684), (-54, 774, 684), (-72, 774, 666), (-72, 774, 684), (-90, 774, 738), (-18, 792, 756), (0, 810, 756), (-90, 810, 666), (-126, 756, 648), (-90, 774, 720), (18, 810, 756), (-90, 774, 666), (-54, 756, 612), (-36, 756, 666)]	(9420, 11756, 9956, 10179, 11597, 12750, 4729, 8031, 4319, 7065, 5872, 7236, 5220, 9440, 7597, 8031, 11385, 19579, 14766, 8795, 15396, 13251, 12100, 2021)
c	19360	(747, 295)	[(-180, 792, 738), (-144, 774, 666), (-216, 756, 702), (-180, 756, 720), (-180, 756, 684), (-198, 774, 648), (-144, 792, 684), (-162, 792, 648), (-162, 774, 666), (-144, 792, 684), (-126, 792, 684), (-180, 792, 702), (-144, 792, 666), (-126, 810, 666), (-162, 792, 666), (-180, 792, 684), (-144, 774, 648), (-126, 828, 702), (-198, 792, 648), (-162, 792, 666), (-162, 792, 666), (-144, 792, 666), (-162, 810, 702), (-180, 792, 720), (-180, 792, 684)]	(9434, 12147, 10126, 10196, 11655, 12907, 4657, 7050, 4195, 7098, 5779, 6693, 4989, 7050, 7589, 8172, 11200, 19651, 15031, 8838, 15507, 13332, 12115, 2017)
d	20961	(673, 329)	[(-162, 792, 630), (-198, 810, 648), (-144, 774, 666), (-144, 828, 666), (-108, 846, 648), (-162, 864, 576), (-144, 864, 558), (-36, 846, 576), (-144, 810, 612), (-162, 792, 648), (-180, 864, 684), (-198, 864, 594), (-198, 846, 666), (-162, 792, 666), (-162, 792, 540), (-90, 846, 612), (-144, 864, 594), (-72, 846, 666), (-126, 864, 666), (-108, 846, 594), (-72, 864, 558), (-90, 846, 576), (-126, 864, 648), (-126, 846, 648), (-108, 846, 558)]	(9438, 12194, 10298, 10336, 11708, 13639, 4740, 7371, 4354, 7242, 5874, 6945, 5128, 8290, 7801, 8163, 11223, 19664, 15118, 8845, 15527, 13311, 12109, 2019)
n	22793	(757, 152)	[(54, 774, 630), (18, 774, 702), (36, 792, 702), (90, 792, 648), (36, 810, 666), (36, 774, 702), (36, 792, 666), (-36, 810, 684), (36, 828, 702), (-36, 792, 648), (-18, 810, 666), (0, 810, 666), (36, 810, 684), (0, 810, 684), (-18, 810, 648), (36, 792, 594), (18, 828, 738), (-36, 828, 738), (18, 828, 630), (18, 828, 630), (-36, 828, 684), (0, 828, 666), (0, 810, 630), (-54, 810, 684), (-36, 792, 630)]	(9410, 11868, 9770, 10163, 11495, 11135, 5800, 7622, 4456, 6948, 6018, 8354, 5170, 10970, 7407, 7787, 11947, 19571, 15041, 8788, 15364, 13224, 12085, 2018)
g	24364	(663, 235)	[(-36, 810, 612), (-90, 828, 612), (-108, 828, 630), (-54, 846, 684), (-36, 846, 702), (-72, 846, 648), (-90, 828, 612), (-36, 828, 648), (-36, 846, 612), (-72, 846, 630), (-72, 846, 648), (0, 846, 612), (-18, 882, 630), (-72, 864, 612), (-36, 846, 612), (-36, 864, 612), (-36, 864, 594), (-36, 846, 612), (-90, 846, 666), (-90, 846, 576), (-36, 864, 504), (-54, 882, 576), (-54, 882, 666), (-72, 864, 630), (-72, 846, 594)]	(9401, 11873, 10075, 10323, 11475, 10984, 5599, 9736, 4666, 6984, 6159, 8933, 5299, 11158, 7425, 7967, 12140, 19623, 15327, 8817, 15414, 13252, 12097, 2017)
i	26042	(595, 125)	[(-36, 864, 630), (-54, 864, 612), (-72, 846, 576), (-72, 846, 558), (-72, 846, 558), (-72, 864, 630), (-54, 846, 630), (-72, 846, 594), (-54, 864, 612), (-36, 864, 576), (-36, 864, 576), (-36, 864, 630), (-36, 864, 576), (-36, 864, 576), (-54, 846, 558), (-54, 828, 648), (-54, 846, 648), (-72, 864, 612), (-72, 864, 576), (-54, 846, 612), (-72, 846, 594), (-90, 846, 612), (-90, 828, 612), (-54, 882, 612), (-54, 864, 612)]	(9388, 11747, 9933, 10236, 11464, 10901, 5488, 9474, 4605, 6968, 6106, 8819, 5304, 11086, 7423, 7954, 12166, 19607, 15262, 8816, 15387, 13234, 12094, 2015)
q	27588	(581, 446)	[(18, 882, 540), (18, 864, 558), (-108, 900, 594), (-72, 864, 648), (-18, 864, 576), (36, 864, 486), (18, 882, 522), (-54, 900, 576), (-54, 864, 594), (-18, 900, 576), (18, 882, 558), (-72, 918, 558), (-108, 882, 594), (0, 882, 576), (-36, 882, 504), (-90, 882, 558), (-144, 864, 540), (-18, 882, 558), (18, 900, 522), (18, 918, 576), (-72, 900, 612), (-108, 882, 594), (-108, 900, 396), (-72, 864, 468), (18, 864, 540)]	(9398, 12042, 10473, 10713, 11495, 11184, 5405, 7400, 4550, 6915, 5856, 7825, 5073, 9851, 7336, 7669, 11540, 19645, 15795, 8846, 15590, 13288, 12114, 2019)
