Please hold the phone in your left hand and type with your left thumb
t	1990682	(583, 260)	[(72, 702, 756), (18, 720, 774), (0, 738, 738), (0, 738, 738), (-36, 720, 756), (0, 738, 756), (18, 756, 774), (54, 720, 774), (72, 702, 792), (126, 702, 774), (90, 702, 774), (108, 702, 792), (144, 666, 792), (144, 684, 792), (126, 702, 810), (126, 702, 792), (108, 684, 756), (108, 702, 774), (90, 720, 792), (108, 720, 738), (108, 720, 738), (108, 720, 738), (144, 702, 792), (126, 684, 792), (162, 702, 738)]	(9407, 11208, 9653, 10498, 11580, 10147, 8900, 7976, 5228, 7053, 7345, 7342, 4843, 6257, 7265, 10306, 11317, 20000, 16196, 9276, 17450, 14048, 12030, 2093)
h	1991079	(638, 208)	[(144, 684, 792), (126, 702, 810), (126, 702, 792), (108, 684, 756), (108, 702, 774), (90, 720, 792), (108, 720, 738), (108, 720, 738), (108, 720, 738), (144, 702, 792), (126, 684, 792), (162, 702, 738), (126, 702, 774), (90, 720, 792), (54, 738, 810), (54, 738, 828), (108, 684, 792), (198, 702, 648), (90, 738, 648), (162, 702, 810), (72, 774, 738), (90, 738, 720), (108, 720, 684), (108, 720, 684), (90, 738, 702)]	(9422, 11260, 9675, 10610, 11596, 10236, 8987, 8256, 5385, 7074, 7370, 7497, 4882, 6265, 7255, 10529, 11338, 20012, 16530, 9280, 17454, 14071, 12034, 2084)
a	1991368	(668, 436)	[(144, 702, 792), (126, 684, 792), (162, 702, 738), (126, 702, 774), (90, 720, 792), (54, 738, 810), (54, 738, 828), (108, 684, 792), (198, 702, 648), (90, 738, 648), (162, 702, 810), (72, 774, 738), (90, 738, 720), (108, 720, 684), (108, 720, 684), (90, 738, 702), (54, 756, 720), (72, 756, 792), (108, 738, 756), (198, 702, 684), (216, 684, 648), (72, 702, 828), (0, 756, 756), (36, 792, 738), (-18, 774, 720)]	(9417, 11234, 9666, 10595, 11585, 10203, 8650, 8135, 5293, 7054, 7361, 7280, 4954, 6282, 7298, 12122, 11319, 19946, 15881, 9277, 17226, 13998, 12017, 2085)
n	1991877	(716, 167)	[(198, 702, 684), (216, 684, 648), (72, 702, 828), (0, 756, 756), (36, 792, 738), (-18, 774, 720), (18, 756, 738), (36, 738, 756), (54, 738, 810), (108, 720, 792), (144, 666, 792), (90, 702, 756), (36, 756, 738), (36, 774, 774), (54, 774, 666), (36, 774, 684), (54, 774, 738), (72, 774, 756), (90, 756, 738), (126, 738, 738), (126, 720, 720), (126, 738, 702), (90, 756, 720), (54, 828, 738), (90, 774, 810)]	(9425, 11214, 9689, 10693, 11577, 10200, 8552, 8115, 5351, 7054, 7157, 7372, 4946, 6295, 7285, 11019, 11352, 20006, 15995, 9308, 17387, 14141, 12041, 2086)
k	1992218	(655, 119)	[(90, 702, 756), (36, 756, 738), (36, 774, 774), (54, 774, 666), (36, 774, 684), (54, 774, 738), (72, 774, 756), (90, 756, 738), (126, 738, 738), (126, 720, 720), (126, 738, 702), (90, 756, 720), (54, 828, 738), (90, 774, 810), (90, 738, 774), (126, 720, 720), (108, 774, 720), (90, 756, 720), (162, 720, 702), (108, 738, 702), (36, 792, 702), (162, 756, 702), (126, 756, 774), (108, 756, 756), (126, 774, 702)]	(9418, 11205, 9701, 10734, 11582, 10192, 8627, 8354, 5567, 7061, 7151, 7582, 4976, 6289, 7277, 10674, 11358, 20038, 16434, 9324, 17457, 14207, 12051, 2092)
s	1992527	(654, 350)	[(126, 720, 720), (126, 738, 702), (90, 756, 720), (54, 828, 738), (90, 774, 810), (90, 738, 774), (126, 720, 720), (108, 774, 720), (90, 756, 720), (162, 720, 702), (108, 738, 702), (36, 792, 702), (162, 756, 702), (126, 756, 774), (108, 756, 756), (126, 774, 702), (90, 774, 720), (108, 774, 738), (144, 756, 684), (162, 738, 648), (198, 756, 576), (36, 756, 846), (90, 738, 738), (90, 828, 702), (18, 774, 756)]	(9416, 11180, 9685, 10605, 11573, 10143, 8587, 8165, 5401, 7046, 7194, 7377, 5010, 6282, 7287, 11301, 11339, 19982, 16111, 9292, 17326, 14104, 12038, 2090)
 	1993694	(813, 237)	[(18, 792, 702), (36, 756, 738), (54, 774, 738), (54, 774, 756), (54, 774, 738), (72, 774, 702), (54, 774, 702), (72, 774, 684), (72, 774, 702), (54, 792, 738), (36, 774, 738), (72, 774, 702), (90, 756, 684), (72, 756, 720), (54, 774, 738), (72, 774, 738), (72, 756, 720), (72, 774, 720), (54, 774, 720), (36, 774, 738), (54, 774, 756), (90, 756, 720), (72, 756, 720), (54, 738, 738), (36, 774, 756)]	(9410, 11185, 9697, 10634, 11568, 10183, 8369, 7905, 5283, 7036, 7189, 7232, 4943, 6293, 7290, 11444, 11350, 19974, 15937, 9281, 17252, 14109, 12044, 2086)
f	1994204	(662, 298)	[(54, 774, 720), (36, 774, 738), (54, 774, 756), (90, 756, 720), (72, 756, 720), (54, 738, 738), (36, 774, 756), (72, 792, 720), (-18, 792, 702), (36, 792, 738), (90, 756, 720), (180, 702, 612), (54, 756, 846), (90, 756, 702), (72, 774, 756), (54, 774, 756), (36, 774, 720), (54, 774, 684), (72, 774, 702), (90, 756, 720), (90, 756, 756), (90, 774, 774), (72, 756, 756), (72, 774, 720), (54, 792, 648)]	(9405, 11212, 9716, 10674, 11570, 10207, 8442, 7950, 5317, 7056, 7244, 7278, 4957, 6303, 7296, 11434, 11345, 19985, 15981, 9278, 17253, 14118, 12034, 2094)
o	1994713	(599, 85)	[(72, 774, 702), (90, 756, 720), (90, 756, 756), (90, 774, 774), (72, 756, 756), (72, 774, 720), (54, 792, 648), (72, 774, 666), (54, 774, 720), (72, 774, 756), (72, 774, 792), (90, 756, 738), (162, 720, 684), (108, 756, 648), (18, 810, 720), (90, 774, 720), (72, 774, 756), (54, 774, 756), (72, 792, 702), (72, 774, 684), (108, 792, 630), (90, 792, 684), (72, 792, 720), (90, 792, 738), (108, 756, 648)]	(9410, 11163, 9711, 10658, 11568, 10228, 8293, 8130, 5352, 7034, 7096, 7373, 4958, 6294, 7283, 11023, 11362, 19994, 16125, 9294, 17281, 14168, 12047, 2087)
r	1995055	(565, 306)	[(90, 756, 738), (162, 720, 684), (108, 756, 648), (18, 810, 720), (90, 774, 720), (72, 774, 756), (54, 774, 756), (72, 792, 702), (72, 774, 684), (108, 792, 630), (90, 792, 684), (72, 792, 720), (90, 792, 738), (108, 756, 648), (126, 828, 558), (36, 810, 648), (18, 846, 720), (90, 774, 738), (108, 774, 702), (162, 774, 720), (90, 792, 630), (90, 774, 720), (36, 810, 756), (18, 828, 612), (54, 792, 666)]	(9406, 11207, 9734, 10686, 11573, 10239, 8220, 8041, 5292, 7054, 7124, 7197, 4930, 6313, 7300, 11566, 11360, 19991, 15978, 9290, 17240, 14149, 12038, 2086)
 	1995619	(839, 249)	[(90, 792, 630), (90, 774, 720), (36, 810, 756), (18, 828, 612), (54, 792, 666), (72, 774, 702), (108, 756, 756), (90, 774, 810), (90, 756, 738), (126, 756, 666), (90, 756, 720), (72, 774, 738), (72, 792, 720), (72, 774, 702), (90, 774, 702), (90, 774, 684), (90, 792, 702), (72, 792, 720), (36, 792, 702), (36, 792, 666), (36, 792, 684), (18, 810, 702), (0, 792, 720), (36, 792, 684), (72, 810, 702)]	(9415, 11260, 9810, 10760, 11553, 10139, 7891, 8075, 5248, 7029, 6919, 7172, 4952, 6317, 7299, 11797, 11372, 19995, 15966, 9308, 17263, 14156, 12038, 2079)
