Please hold the phone in your left hand and type with your left thumb
p	482321	(567, 29)	[(-252, 684, 720), (-216, 846, 684), (-90, 864, 666), (-90, 756, 702), (-180, 864, 738), (-54, 792, 756), (-36, 756, 774), (-54, 774, 684), (18, 774, 684), (-36, 684, 846), (0, 702, 792), (-90, 738, 756), (-108, 810, 720), (-72, 774, 738), (-54, 738, 720), (-90, 792, 666), (-108, 792, 630), (-72, 792, 666), (-72, 774, 666), (-54, 774, 702), (-90, 810, 666), (-144, 846, 648), (-144, 846, 702), (-72, 846, 612), (18, 792, 630)]	(9374, 10808, 9507, 10121, 11541, 9727, 7260, 8805, 7310, 7352, 7407, 9275, 5430, 10169, 7971, 8563, 14513, 19902, 15534, 8967, 16259, 14391, 12173, 2003)
w	483697	(599, 414)	[(0, 630, 828), (-36, 648, 846), (-90, 684, 774), (-54, 630, 774), (-36, 666, 756), (-54, 702, 756), (-90, 720, 864), (-162, 738, 954), (-180, 756, 882), (-90, 702, 666), (54, 612, 648), (-54, 648, 648), (-72, 702, 702), (-54, 720, 792), (-72, 720, 828), (-108, 738, 828), (-36, 684, 810), (18, 648, 828), (18, 630, 846), (-36, 684, 720), (0, 648, 792), (18, 612, 828), (0, 666, 828), (-72, 684, 828), (-54, 648, 810)]	(9390, 10591, 9413, 10037, 11504, 9641, 7426, 8679, 8322, 7296, 7532, 9795, 5845, 9621, 7804, 9227, 14250, 19821, 14852, 9056, 16072, 14377, 12077, 2015)
i	485007	(596, 100)	[(-18, 702, 792), (-54, 702, 828), (-36, 702, 900), (18, 630, 936), (0, 612, 954), (-108, 720, 684), (-108, 864, 486), (-144, 900, 432), (-126, 918, 486), (-72, 882, 630), (-18, 792, 756), (36, 756, 630), (-72, 810, 594), (-90, 882, 630), (-108, 864, 738), (-72, 828, 774), (36, 774, 720), (54, 828, 594), (-72, 828, 666), (0, 810, 612), (36, 774, 630), (-54, 828, 720), (-54, 864, 702), (-54, 882, 648), (0, 810, 630)]	(9375, 10763, 9378, 10050, 11560, 9720, 7137, 8801, 7300, 7328, 7379, 9595, 5665, 10248, 7953, 8411, 14621, 19875, 15215, 8944, 16032, 14318, 12187, 2020)
m	486479	(756, 117)	[(0, 630, 828), (-90, 684, 900), (-144, 684, 900), (-126, 738, 900), (-72, 702, 810), (-90, 684, 846), (-36, 702, 828), (-36, 756, 630), (-90, 738, 738), (18, 756, 738), (72, 720, 792), (-54, 720, 810), (-54, 738, 720), (0, 738, 666), (0, 738, 720), (-54, 774, 774), (-36, 756, 720), (18, 738, 702), (18, 738, 756), (-72, 774, 702), (-72, 792, 702), (-36, 738, 738), (-54, 756, 738), (-54, 774, 828), (-72, 756, 774)]	(9394, 10616, 9452, 10040, 11541, 9682, 7722, 8263, 7613, 7366, 7616, 9788, 5635, 10189, 7910, 8881, 14733, 19835, 14925, 8948, 16009, 14276, 12159, 2025)
k	487999	(665, 111)	[(-36, 738, 810), (-72, 720, 828), (-126, 756, 810), (-72, 774, 774), (-54, 738, 738), (-54, 720, 738), (18, 702, 702), (-54, 792, 738), (-72, 792, 738), (-54, 756, 720), (-90, 756, 720), (-54, 738, 738), (-54, 738, 738), (-72, 756, 684), (-90, 774, 684), (-90, 774, 774), (-54, 774, 792), (-36, 756, 774), (-36, 738, 702), (-36, 738, 684), (-54, 738, 756), (-54, 738, 774), (-72, 774, 720), (-72, 756, 792), (-54, 738, 792)]	(9385, 10646, 9385, 10041, 11556, 9724, 7476, 8932, 7137, 7380, 7575, 10030, 5616, 10451, 7932, 8577, 14820, 19859, 14943, 8938, 15971, 14258, 12179, 2015)
v	489376	(757, 272)	[(-90, 684, 846), (-54, 666, 954), (18, 630, 882), (36, 594, 792), (18, 612, 720), (0, 630, 738), (0, 684, 774), (-54, 666, 792), (-54, 684, 792), (0, 666, 882), (-54, 630, 846), (-72, 666, 792), (0, 666, 756), (0, 648, 828), (-36, 666, 846), (-36, 648, 810), (54, 630, 810), (-36, 630, 828), (-72, 666, 828), (18, 648, 846), (36, 630, 846), (0, 648, 846), (0, 648, 810), (18, 630, 810), (-18, 648, 810)]	(9380, 10630, 9400, 10032, 11555, 9746, 7873, 8554, 7414, 7322, 7657, 9732, 5715, 10378, 7787, 8821, 14609, 19820, 14736, 9002, 15956, 14310, 12100, 2019)
o	490711	(588, 62)	[(-54, 648, 900), (-72, 738, 792), (-162, 882, 612), (-234, 954, 522), (-162, 882, 612), (-126, 774, 738), (0, 738, 684), (54, 756, 612), (-72, 792, 630), (-144, 846, 684), (-126, 882, 594), (-54, 864, 666), (-72, 792, 756), (18, 756, 702), (0, 792, 666), (0, 792, 666), (-72, 828, 666), (-18, 792, 702), (36, 792, 720), (18, 756, 738), (-54, 810, 720), (-54, 792, 702), (-36, 792, 594), (-54, 810, 630), (-54, 810, 738)]	(9398, 10752, 9480, 10081, 11578, 9715, 7135, 8725, 6778, 7367, 7334, 9900, 5413, 10128, 7864, 8314, 14785, 19907, 15327, 8942, 16135, 14358, 12224, 2023)
h	492142	(669, 182)	[(-90, 684, 792), (-72, 738, 684), (18, 720, 684), (-90, 702, 756), (-72, 720, 774), (0, 702, 864), (-72, 684, 864), (-90, 702, 756), (-90, 756, 702), (-72, 756, 720), (-72, 720, 792), (-54, 720, 792), (-54, 702, 738), (-54, 738, 702), (-54, 738, 684), (-72, 738, 738), (-90, 756, 792), (-72, 738, 738), (-54, 720, 720), (-36, 702, 702), (-72, 774, 756), (-54, 738, 792), (-36, 720, 774), (-54, 738, 702), (-54, 738, 684)]	(9397, 10601, 9447, 10040, 11585, 9749, 7876, 8600, 7327, 7446, 7652, 10176, 5615, 10255, 7886, 8778, 14605, 19822, 14850, 8932, 15905, 14173, 12111, 2024)
s	493500	(673, 387)	[(-90, 648, 882), (-144, 666, 864), (-126, 666, 828), (-126, 648, 792), (-216, 702, 774), (-180, 702, 810), (-180, 720, 810), (-198, 720, 756), (-180, 738, 738), (-180, 702, 756), (-180, 684, 792), (-162, 720, 774), (-126, 684, 774), (-90, 648, 774), (-90, 630, 810), (-90, 666, 846), (-72, 684, 810), (-72, 630, 828), (-108, 666, 828), (-90, 684, 756), (-90, 666, 774), (-144, 702, 846), (-144, 702, 792), (-108, 666, 774), (-72, 648, 756)]	(9384, 10440, 9390, 9955, 11555, 9669, 7976, 7845, 6961, 7478, 7582, 10342, 5505, 10416, 7798, 8604, 14394, 19780, 14511, 8986, 15814, 14018, 12017, 2021)
m	494830	(755, 106)	[(-90, 702, 720), (-144, 792, 648), (-108, 828, 738), (-126, 720, 810), (-72, 702, 720), (0, 702, 720), (-90, 702, 738), (-108, 720, 792), (-126, 756, 810), (-90, 738, 756), (-54, 720, 774), (-72, 702, 774), (-54, 720, 702), (-54, 702, 738), (-72, 720, 738), (-108, 792, 756), (-144, 810, 846), (-90, 792, 792), (0, 684, 738), (-72, 738, 612), (-90, 774, 666), (-108, 774, 720), (-126, 774, 738), (-144, 774, 720), (-90, 756, 720)]	(9403, 10594, 9508, 10013, 11555, 9682, 8115, 7784, 6665, 7488, 7549, 10171, 5363, 9776, 7895, 8432, 14725, 19841, 14890, 8955, 15979, 14148, 12122, 2002)
