Please hold the phone in your left hand and type with your left thumb
t	1573515	(584, 262)	[(54, 828, 774), (18, 756, 774), (-126, 810, 738), (-126, 828, 666), (-90, 810, 594), (-54, 792, 594), (-36, 774, 648), (-18, 756, 702), (0, 774, 756), (18, 810, 720), (54, 792, 702), (90, 756, 738), (72, 792, 738), (54, 846, 666), (54, 846, 576), (72, 792, 630), (36, 810, 648), (0, 846, 648), (-36, 846, 648), (0, 864, 612), (36, 864, 648), (18, 864, 540), (0, 864, 558), (-36, 900, 666), (18, 864, 648)]	(9448, 11121, 9284, 10896, 11482, 9508, 4518, 9702, 5889, 6877, 5794, 7076, 4777, 9442, 7346, 8375, 12184, 19866, 17250, 9110, 16727, 14020, 12179, 1987)
h	1573803	(686, 192)	[(18, 810, 720), (54, 792, 702), (90, 756, 738), (72, 792, 738), (54, 846, 666), (54, 846, 576), (72, 792, 630), (36, 810, 648), (0, 846, 648), (-36, 846, 648), (0, 864, 612), (36, 864, 648), (18, 864, 540), (0, 864, 558), (-36, 900, 666), (18, 864, 648), (90, 810, 558), (36, 846, 612), (36, 846, 702), (18, 864, 648), (54, 846, 648), (-36, 846, 666), (-36, 864, 648), (0, 882, 666), (72, 846, 648)]	(9449, 11107, 9287, 10885, 11487, 9485, 4607, 9716, 6004, 6933, 5842, 7141, 4782, 9403, 7323, 8323, 12113, 19874, 17050, 9101, 16845, 14072, 12185, 1996)
a	1574212	(663, 436)	[(-36, 900, 666), (18, 864, 648), (90, 810, 558), (36, 846, 612), (36, 846, 702), (18, 864, 648), (54, 846, 648), (-36, 846, 666), (-36, 864, 648), (0, 882, 666), (72, 846, 648), (-36, 864, 666), (-108, 756, 630), (0, 774, 666), (-90, 810, 738), (-108, 792, 756), (-72, 792, 702), (-108, 828, 612), (-144, 846, 612), (-108, 828, 630), (-72, 810, 756), (-90, 828, 774), (-126, 810, 720), (-54, 792, 630), (-36, 774, 630)]	(9406, 10567, 9212, 10160, 11427, 9430, 4520, 10369, 7375, 6936, 5976, 8642, 4921, 8408, 7300, 9441, 11442, 19741, 14839, 9067, 16403, 13770, 12159, 1991)
n	1574602	(742, 158)	[(0, 774, 666), (-90, 810, 738), (-108, 792, 756), (-72, 792, 702), (-108, 828, 612), (-144, 846, 612), (-108, 828, 630), (-72, 810, 756), (-90, 828, 774), (-126, 810, 720), (-54, 792, 630), (-36, 774, 630), (108, 828, 612), (90, 828, 576), (90, 828, 576), (90, 846, 576), (54, 882, 630), (72, 882, 612), (144, 828, 612), (108, 810, 648), (36, 900, 522), (54, 864, 576), (72, 864, 612), (90, 846, 666), (126, 810, 630)]	(9460, 11107, 9337, 10782, 11483, 9500, 4418, 8418, 6710, 6880, 5757, 6745, 4825, 8665, 7292, 8308, 11991, 19884, 17681, 9093, 16994, 14024, 12183, 1990)
k	1574891	(653, 108)	[(-126, 810, 720), (-54, 792, 630), (-36, 774, 630), (108, 828, 612), (90, 828, 576), (90, 828, 576), (90, 846, 576), (54, 882, 630), (72, 882, 612), (144, 828, 612), (108, 810, 648), (36, 900, 522), (54, 864, 576), (72, 864, 612), (90, 846, 666), (126, 810, 630), (108, 864, 576), (54, 864, 540), (18, 900, 504), (36, 936, 504), (-36, 900, 702), (-18, 936, 702), (-54, 954, 558), (-126, 972, 414), (-54, 954, 342)]	(9442, 10826, 9292, 10728, 11468, 9445, 4285, 10905, 5586, 6863, 5640, 6996, 4640, 7341, 7234, 7837, 12168, 19879, 17765, 9045, 16718, 14083, 12199, 1988)
s	1575349	(671, 364)	[(108, 864, 576), (54, 864, 540), (18, 900, 504), (36, 936, 504), (-36, 900, 702), (-18, 936, 702), (-54, 954, 558), (-126, 972, 414), (-54, 954, 342), (36, 774, 792), (-54, 882, 594), (-54, 882, 630), (-36, 810, 648), (18, 810, 666), (-54, 828, 630), (-72, 846, 612), (-72, 846, 648), (-54, 846, 648), (-90, 846, 684), (-36, 810, 702), (0, 810, 684), (-36, 828, 666), (-54, 828, 702), (-36, 828, 684), (0, 828, 612)]	(9405, 10528, 9210, 10370, 11421, 9413, 4481, 11878, 7245, 6936, 5872, 8492, 5034, 8549, 7322, 9339, 11687, 19718, 14668, 9026, 16125, 13819, 12155, 1990)
 	1575741	(834, 282)	[(18, 810, 666), (-54, 828, 630), (-72, 846, 612), (-72, 846, 648), (-54, 846, 648), (-90, 846, 684), (-36, 810, 702), (0, 810, 684), (-36, 828, 666), (-54, 828, 702), (-36, 828, 684), (0, 828, 612), (-36, 810, 702), (18, 810, 666), (36, 792, 666), (18, 810, 648), (18, 828, 630), (0, 810, 648), (0, 810, 666), (-18, 810, 648), (0, 828, 630), (-72, 846, 594), (-18, 828, 720), (-36, 774, 738), (0, 810, 756)]	(9435, 10758, 9251, 10455, 11448, 9435, 4439, 11520, 6823, 6925, 5895, 7446, 4971, 8913, 7359, 9126, 11833, 19746, 15120, 9036, 16325, 13864, 12150, 1990)
f	1576098	(672, 287)	[(0, 828, 612), (-36, 810, 702), (18, 810, 666), (36, 792, 666), (18, 810, 648), (18, 828, 630), (0, 810, 648), (0, 810, 666), (-18, 810, 648), (0, 828, 630), (-72, 846, 594), (-18, 828, 720), (-36, 774, 738), (0, 810, 756), (-36, 864, 684), (36, 864, 522), (36, 846, 612), (54, 846, 612), (36, 864, 594), (-36, 882, 558), (-36, 900, 594), (0, 882, 630), (72, 846, 648), (36, 846, 648), (18, 864, 666)]	(9438, 10798, 9257, 10578, 11444, 9453, 4432, 11580, 6247, 6951, 5867, 7646, 4866, 8835, 7329, 8763, 11980, 19798, 16416, 9026, 16433, 13884, 12157, 1991)
o	1576538	(598, 94)	[(36, 864, 522), (36, 846, 612), (54, 846, 612), (36, 864, 594), (-36, 882, 558), (-36, 900, 594), (0, 882, 630), (72, 846, 648), (36, 846, 648), (18, 864, 666), (-54, 882, 540), (-72, 936, 522), (-36, 954, 432), (18, 936, 432), (108, 900, 576), (36, 972, 522), (-126, 918, 450), (-54, 918, 522), (18, 936, 522), (18, 936, 504), (54, 918, 522), (18, 936, 450), (-36, 918, 486), (-36, 954, 522), (36, 900, 504)]	(9465, 10520, 9562, 10754, 11438, 9421, 4111, 8808, 5139, 6835, 5652, 6350, 4604, 6254, 7187, 8831, 11546, 19860, 17960, 9015, 16333, 14069, 12175, 1988)
r	1577046	(576, 309)	[(18, 936, 504), (54, 918, 522), (18, 936, 450), (-36, 918, 486), (-36, 954, 522), (36, 900, 504), (54, 918, 414), (-36, 936, 630), (-72, 990, 612), (18, 900, 558), (18, 846, 504), (-108, 918, 342), (-54, 954, 270), (36, 918, 324), (54, 918, 522), (36, 918, 522), (-36, 936, 486), (-54, 936, 504), (-36, 918, 558), (-18, 918, 504), (18, 918, 522), (0, 954, 558), (-36, 936, 576), (0, 900, 558), (54, 900, 486)]	(9428, 10438, 9344, 10522, 11400, 9341, 4130, 10377, 5308, 6822, 5691, 6646, 4965, 7200, 7236, 9134, 11584, 19682, 14993, 8990, 15835, 13885, 12145, 1987)
