Please hold the phone in both hands. At each letter you will be instructed which thumb to use
right	o	87125	(584, 81)	[(-54, 774, 702), (-36, 774, 720), (-54, 774, 738), (-54, 756, 738), (-54, 738, 738), (-54, 774, 684), (-36, 792, 666), (-18, 774, 720), (-54, 774, 756), (-18, 774, 702), (-54, 774, 720), (-54, 774, 666), (-72, 774, 702), (-54, 774, 738), (-54, 774, 738), (-54, 774, 648), (-54, 774, 684), (-54, 774, 720), (-54, 792, 720), (-36, 792, 756), (-72, 774, 720), (-54, 774, 720), (-72, 774, 702), (-72, 774, 720), (-72, 774, 666)]	(9465, 15255, 10873, 10116, 12038, 11010, 4457, 8063, 4528, 8564, 6461, 6473, 7611, 6400, 8220, 9430, 11818, 20743, 15749, 9405, 19378, 15995, 13240, 2016)
left	z	88711	(744, 397)	[(-72, 756, 720), (-54, 756, 702), (-54, 756, 702), (-54, 774, 720), (-72, 756, 720), (-72, 756, 738), (-54, 756, 756), (-54, 774, 702), (-54, 756, 720), (-54, 756, 738), (-54, 756, 720), (-54, 756, 720), (-54, 756, 720), (-54, 756, 702), (-54, 756, 756), (-54, 756, 738), (-54, 756, 702), (-72, 738, 738), (-54, 774, 720), (-72, 756, 738), (-36, 756, 720), (-54, 774, 702), (-54, 774, 720), (-54, 756, 720), (-90, 756, 738)]	(9474, 15390, 10774, 10086, 12035, 11086, 4465, 7981, 4428, 8560, 6400, 6519, 7514, 6445, 8235, 9544, 11818, 20812, 15854, 10661, 19658, 16049, 13251, 2028)
left	l	92071	(655, 61)	[(-36, 792, 684), (-36, 774, 702), (0, 774, 702), (0, 774, 702), (-18, 792, 684), (-36, 774, 702), (-36, 774, 702), (18, 792, 702), (-36, 774, 702), (-36, 774, 720), (-36, 774, 720), (-36, 774, 702), (0, 756, 666), (0, 774, 720), (0, 792, 684), (0, 792, 684), (-18, 792, 702), (0, 774, 738), (0, 774, 702), (0, 792, 648), (0, 792, 648), (-36, 792, 720), (-18, 774, 666), (-36, 810, 684), (36, 810, 648)]	(9520, 15846, 10478, 10050, 11620, 11850, 4675, 7184, 4384, 7071, 6527, 6736, 6544, 6567, 7521, 10081, 11721, 20896, 16483, 9442, 19723, 16243, 13490, 2024)
right	r	93820	(594, 307)	[(-54, 756, 720), (-54, 774, 720), (-36, 774, 702), (-36, 756, 702), (-54, 774, 720), (-36, 756, 684), (-36, 756, 684), (-36, 756, 720), (-54, 774, 720), (-54, 756, 756), (-54, 756, 828), (-72, 756, 774), (-90, 810, 684), (-72, 792, 594), (-90, 810, 684), (-90, 810, 738), (-90, 810, 684), (-72, 810, 612), (-108, 810, 630), (-108, 792, 666), (-90, 792, 666), (-90, 792, 666), (-90, 810, 684), (-108, 810, 666), (-90, 792, 684)]	(9460, 15072, 11335, 10265, 12289, 11690, 4716, 8020, 4966, 8980, 7116, 6885, 6961, 6432, 8644, 8970, 11920, 20990, 16147, 9303, 19256, 15876, 13221, 2019)
left	g	95881	(659, 255)	[(-54, 810, 684), (-54, 792, 702), (-54, 792, 684), (-54, 810, 684), (-54, 810, 684), (-54, 792, 702), (-72, 792, 702), (-72, 792, 702), (-54, 792, 684), (-72, 792, 666), (-54, 810, 684), (-54, 810, 702), (-54, 792, 702), (-54, 792, 702), (-36, 810, 684), (-54, 792, 684), (-54, 792, 684), (-36, 810, 684), (-36, 792, 666), (-54, 810, 666), (-54, 792, 702), (-54, 810, 684), (-36, 810, 684), (-36, 792, 684), (-36, 810, 666)]	(9485, 15699, 10882, 10109, 12034, 11829, 4763, 7547, 4651, 8627, 7140, 6807, 6502, 6445, 8610, 9445, 12125, 21672, 16528, 17911, 19690, 16111, 13381, 2028)
right	y	97838	(573, 217)	[(-54, 774, 702), (-54, 792, 684), (-54, 792, 720), (-54, 792, 702), (-54, 774, 702), (-72, 792, 684), (-54, 792, 684), (-72, 774, 666), (-54, 792, 684), (-54, 792, 702), (-72, 792, 684), (-72, 792, 702), (-72, 792, 702), (-72, 792, 702), (-54, 792, 720), (-72, 792, 720), (-54, 792, 684), (-54, 810, 630), (-72, 810, 666), (-72, 810, 684), (-54, 810, 702), (-72, 810, 666), (-54, 810, 612), (-54, 792, 612), (-54, 810, 666)]	(9490, 15539, 11140, 10198, 12229, 11982, 4576, 7361, 4489, 8875, 6910, 6592, 6587, 6363, 8651, 8925, 12098, 21525, 16482, 17812, 19795, 16230, 13377, 2032)
right	f	99697	(659, 287)	[(-72, 792, 666), (-54, 792, 684), (-54, 810, 684), (-54, 810, 684), (-72, 810, 684), (-72, 810, 684), (-72, 810, 648), (-72, 792, 684), (-54, 792, 684), (-54, 810, 666), (-72, 810, 684), (-72, 792, 684), (-72, 810, 648), (-72, 810, 684), (-72, 810, 684), (-54, 810, 666), (-72, 810, 666), (-72, 810, 684), (-72, 810, 666), (-54, 810, 666), (-72, 810, 666), (-72, 810, 630), (-72, 810, 666), (-72, 810, 666), (-90, 810, 630)]	(9491, 15693, 11206, 10199, 12277, 11495, 4616, 7861, 4632, 9010, 7109, 6778, 6731, 6392, 8666, 9039, 12111, 21472, 16552, 17740, 19619, 16141, 13359, 2027)
right	r	101282	(582, 314)	[(-72, 810, 684), (-54, 792, 666), (-72, 792, 684), (-72, 792, 684), (-90, 792, 684), (-72, 792, 702), (-72, 792, 666), (-54, 792, 666), (-72, 792, 666), (-90, 792, 684), (-90, 792, 684), (-72, 810, 702), (-90, 792, 684), (-90, 810, 666), (-90, 810, 648), (-72, 810, 684), (-72, 810, 702), (-72, 810, 684), (-72, 810, 648), (-90, 810, 648), (-90, 810, 666), (-72, 810, 666), (-72, 828, 630), (-72, 810, 594), (-90, 810, 612)]	(9471, 15569, 11275, 10227, 12304, 11471, 4538, 7799, 4610, 8871, 6854, 6573, 6748, 6363, 8607, 8865, 12110, 21347, 16527, 17670, 19529, 16115, 13342, 2031)
left	e	103023	(587, 372)	[(-72, 792, 684), (-72, 792, 684), (-90, 792, 684), (-72, 810, 666), (-72, 792, 702), (-72, 792, 702), (-72, 792, 684), (-72, 792, 702), (-72, 792, 684), (-72, 792, 666), (-72, 792, 684), (-54, 810, 684), (-72, 792, 684), (-72, 792, 702), (-72, 792, 684), (-54, 792, 702), (-54, 792, 702), (-72, 792, 684), (-54, 792, 684), (-72, 792, 666), (-72, 792, 702), (-54, 792, 684), (-72, 792, 702), (-54, 810, 720), (-36, 810, 684)]	(9471, 15758, 11124, 10165, 12122, 11664, 4774, 7980, 4786, 8654, 7223, 6920, 6688, 6433, 8557, 9266, 12097, 21481, 16579, 17809, 19637, 16070, 13344, 2018)
right	u	105451	(592, 171)	[(-54, 810, 684), (-54, 792, 684), (-54, 792, 702), (-72, 792, 702), (-54, 792, 684), (-54, 810, 666), (-54, 792, 702), (-72, 792, 684), (-72, 792, 702), (-54, 792, 684), (-54, 792, 684), (-72, 792, 702), (-54, 810, 684), (-54, 792, 684), (-54, 792, 684), (-54, 792, 702), (-72, 792, 684), (-54, 810, 684), (-72, 792, 684), (-72, 810, 684), (-54, 792, 684), (-54, 810, 684), (-90, 792, 684), (-72, 792, 666), (-72, 792, 720)]	(9486, 15901, 11232, 10169, 12127, 11437, 4733, 8126, 4790, 8700, 7274, 6954, 6897, 6412, 8533, 9246, 12130, 21543, 16584, 17855, 19805, 16200, 13383, 2034)
