Please hold the phone in your right hand and type with your left index finger
i	3012166	(576, 129)	[(-72, 846, 540), (-144, 828, 630), (-108, 828, 666), (18, 828, 630), (72, 828, 666), (36, 846, 684), (0, 864, 684), (72, 864, 612), (72, 918, 558), (90, 900, 594), (90, 900, 558), (126, 900, 540), (90, 882, 576), (54, 864, 558), (72, 864, 576), (72, 864, 594), (54, 864, 612), (36, 882, 630), (72, 882, 630), (72, 882, 648), (144, 936, 270), (18, 900, 468), (36, 846, 648), (90, 864, 738), (72, 882, 684)]	(9486, 11610, 10047, 10970, 13338, 12539, 4510, 5859, 4286, 6955, 5747, 6381, 4414, 6011, 7103, 7019, 11058, 19745, 15132, 8990, 16094, 13424, 12163, 1976)
 	3012557	(799, 218)	[(54, 864, 558), (72, 864, 576), (72, 864, 594), (54, 864, 612), (36, 882, 630), (72, 882, 630), (72, 882, 648), (144, 936, 270), (18, 900, 468), (36, 846, 648), (90, 864, 738), (72, 882, 684), (54, 846, 612), (18, 864, 630), (18, 846, 648), (18, 846, 630), (18, 846, 630), (0, 846, 648), (18, 846, 630), (0, 846, 648), (0, 846, 666), (108, 864, 648), (54, 846, 486), (36, 846, 594), (36, 864, 540)]	(9473, 11499, 9931, 10833, 12978, 12228, 4430, 5766, 4207, 6910, 5752, 6384, 4427, 6014, 7114, 7012, 11049, 19709, 14978, 8956, 15953, 13402, 12149, 1974)
w	3013321	(573, 408)	[(36, 846, 666), (0, 828, 684), (-18, 846, 666), (0, 846, 648), (0, 828, 630), (18, 846, 612), (18, 828, 648), (18, 828, 648), (0, 828, 648), (0, 828, 648), (0, 846, 630), (18, 864, 648), (18, 846, 648), (36, 846, 648), (36, 846, 648), (36, 846, 630), (18, 846, 630), (18, 846, 630), (36, 846, 630), (18, 864, 630), (18, 864, 648), (90, 864, 540), (54, 846, 486), (18, 828, 540), (18, 846, 684)]	(9475, 11575, 9857, 10843, 12914, 12416, 4488, 5938, 4276, 6941, 5756, 6628, 4499, 6018, 7120, 7082, 11042, 19688, 14805, 8919, 15783, 13374, 12164, 1983)
i	3013727	(545, 130)	[(36, 846, 648), (36, 846, 648), (36, 846, 630), (18, 846, 630), (18, 846, 630), (36, 846, 630), (18, 864, 630), (18, 864, 648), (90, 864, 540), (54, 846, 486), (18, 828, 540), (18, 846, 684), (0, 846, 702), (72, 864, 612), (90, 864, 594), (72, 864, 594), (90, 864, 594), (90, 882, 576), (90, 900, 576), (90, 900, 540), (108, 900, 414), (108, 900, 396), (36, 864, 576), (108, 864, 612), (108, 882, 630)]	(9472, 11517, 9827, 10844, 12860, 12335, 4453, 5906, 4281, 6940, 5735, 6622, 4467, 6020, 7115, 7075, 11029, 19679, 14782, 8919, 15781, 13385, 12149, 1980)
l	3014538	(651, 16)	[(72, 864, 612), (72, 864, 594), (72, 882, 612), (90, 864, 612), (90, 864, 594), (90, 882, 612), (72, 864, 612), (72, 864, 594), (90, 864, 576), (90, 882, 576), (72, 882, 594), (90, 864, 576), (108, 882, 576), (126, 882, 576), (126, 864, 594), (126, 900, 576), (90, 882, 558), (108, 882, 540), (108, 900, 468), (90, 882, 396), (72, 864, 594), (108, 882, 612), (144, 882, 666), (126, 900, 630), (108, 900, 612)]	(9475, 11376, 9772, 10804, 12770, 12362, 4495, 5925, 4278, 6925, 5777, 6596, 4460, 6013, 7117, 7065, 11028, 19683, 14754, 8903, 15768, 13380, 12157, 1987)
l	3014827	(641, 49)	[(90, 882, 576), (72, 882, 594), (90, 864, 576), (108, 882, 576), (126, 882, 576), (126, 864, 594), (126, 900, 576), (90, 882, 558), (108, 882, 540), (108, 900, 468), (90, 882, 396), (72, 864, 594), (108, 882, 612), (144, 882, 666), (126, 900, 630), (108, 900, 612), (90, 864, 576), (90, 882, 576), (108, 882, 594), (108, 900, 576), (108, 900, 486), (126, 900, 432), (126, 882, 630), (126, 882, 558), (108, 900, 594)]	(9458, 11322, 9720, 10762, 12680, 12270, 4481, 5910, 4255, 6932, 5748, 6549, 4461, 6019, 7112, 7058, 11005, 19676, 14738, 8921, 15761, 13378, 12145, 1970)
 	3015487	(821, 222)	[(90, 864, 594), (54, 846, 594), (90, 882, 576), (90, 882, 576), (72, 882, 558), (90, 900, 558), (72, 882, 594), (72, 882, 594), (72, 882, 594), (90, 864, 612), (90, 864, 594), (90, 882, 576), (72, 882, 594), (90, 882, 594), (108, 882, 576), (72, 882, 576), (72, 882, 594), (90, 882, 576), (90, 882, 576), (90, 882, 612), (90, 882, 594), (144, 936, 360), (54, 882, 540), (72, 846, 702), (90, 864, 720)]	(9464, 11449, 9788, 10839, 12739, 12362, 4489, 5903, 4265, 6920, 5750, 6560, 4462, 6007, 7113, 7057, 11030, 19684, 14744, 8924, 15780, 13378, 12148, 1994)
g	3016048	(666, 237)	[(144, 936, 360), (54, 882, 540), (72, 846, 702), (90, 864, 720), (54, 882, 594), (90, 864, 576), (90, 882, 612), (72, 882, 594), (90, 882, 594), (90, 882, 558), (90, 900, 576), (72, 882, 594), (72, 882, 576), (72, 882, 576), (54, 864, 576), (72, 882, 594), (72, 864, 594), (72, 882, 594), (90, 882, 576), (144, 900, 504), (90, 882, 468), (72, 882, 576), (126, 882, 630), (108, 882, 630)]	(9465, 11410, 9771, 10818, 12743, 12342, 4466, 5894, 4237, 6951, 5748, 6529, 4469, 6001, 7120, 7058, 11031, 19681, 14748, 8920, 15785, 13384, 12155, 1981)
e	3016656	(572, 347)	[(126, 882, 630), (108, 882, 630), (90, 882, 612), (54, 882, 576), (72, 882, 576), (72, 882, 576), (90, 882, 558), (90, 900, 558), (72, 882, 558), (72, 882, 594), (72, 882, 576), (72, 900, 558), (72, 882, 594), (54, 882, 576), (90, 882, 594), (72, 900, 558), (72, 882, 576), (72, 882, 594), (90, 882, 612), (126, 900, 468), (54, 882, 486), (72, 864, 612), (126, 882, 648), (72, 882, 648), (54, 882, 558)]	(9465, 11415, 9781, 10836, 12814, 12404, 4494, 5888, 4278, 6935, 5759, 6540, 4463, 6016, 7120, 7067, 11019, 19682, 14755, 8930, 15787, 13383, 12151, 1974)
t	3016947	(579, 256)	[(72, 882, 558), (72, 882, 594), (72, 882, 576), (72, 900, 558), (72, 882, 594), (54, 882, 576), (90, 882, 594), (72, 900, 558), (72, 882, 576), (72, 882, 594), (90, 882, 612), (126, 900, 468), (54, 882, 486), (72, 864, 612), (126, 882, 648), (72, 882, 648), (54, 882, 558), (54, 864, 558), (90, 882, 594), (90, 900, 594), (108, 900, 576), (108, 882, 594), (198, 918, 432), (36, 900, 504), (126, 882, 612)]	(9475, 11491, 9823, 10901, 12872, 12523, 4530, 5941, 4306, 6970, 5748, 6568, 4480, 6017, 7115, 7083, 11044, 19694, 14790, 8928, 15806, 13393, 12155, 1988)
