Please hold the phone in both hands. At each letter you will be instructed which thumb to use
left	p	566162	(590, 29)	[(18, 486, 954), (54, 450, 936), (54, 468, 936), (54, 450, 954), (18, 468, 918), (36, 450, 936), (36, 468, 936), (36, 486, 936), (18, 468, 954), (36, 450, 990), (0, 450, 972), (-90, 504, 972), (18, 468, 990), (36, 450, 954), (54, 540, 738), (126, 522, 828), (198, 522, 900), (198, 522, 936), (162, 522, 900), (126, 540, 882), (108, 522, 846), (144, 540, 846), (108, 540, 918), (126, 522, 900), (162, 540, 864)]	(9809, 11154, 10116, 11043, 11613, 10965, 7025, 7991, 4954, 7113, 7648, 6956, 4768, 6490, 7825, 14444, 12296, 21088, 17639, 9175, 17861, 15270, 13535, 2131)
right	c	567891	(747, 288)	[(36, 450, 882), (36, 468, 918), (36, 450, 972), (72, 486, 972), (72, 486, 972), (36, 486, 936), (36, 468, 936), (36, 468, 882), (36, 468, 882), (18, 468, 882), (36, 486, 918), (36, 468, 972), (18, 468, 954), (0, 486, 918), (18, 468, 918), (18, 486, 900), (18, 468, 918), (0, 450, 936), (0, 468, 990), (18, 486, 954), (36, 486, 936), (36, 486, 918), (36, 486, 900), (0, 486, 900), (-36, 468, 864)]	(10030, 11513, 10285, 11081, 11772, 13275, 7040, 7403, 4870, 8306, 6774, 6696, 4789, 6762, 9555, 13849, 12920, 21245, 15483, 9192, 17945, 15285, 13401, 2138)
left	g	569956	(658, 252)	[(18, 468, 918), (18, 468, 936), (36, 486, 954), (36, 486, 936), (36, 450, 954), (36, 468, 918), (18, 468, 954), (36, 468, 954), (36, 468, 954), (0, 468, 936), (36, 468, 918), (18, 468, 972), (36, 486, 882), (54, 504, 918), (54, 504, 936), (54, 486, 936), (54, 504, 918), (54, 468, 918), (72, 504, 882), (54, 486, 882), (54, 486, 918), (36, 486, 918), (36, 486, 918), (54, 486, 954), (54, 486, 918)]	(9897, 11355, 10168, 11045, 11739, 12709, 6827, 7635, 4902, 8147, 6909, 6814, 4837, 6804, 9503, 14225, 12954, 21293, 15472, 9155, 17681, 15135, 13377, 2136)
left	q	571816	(563, 470)	[(54, 486, 900), (36, 468, 918), (36, 468, 936), (36, 486, 918), (36, 468, 972), (54, 486, 954), (36, 486, 936), (36, 468, 918), (36, 468, 936), (36, 468, 936), (36, 468, 918), (54, 468, 954), (36, 486, 936), (36, 486, 918), (18, 468, 936), (18, 468, 936), (36, 468, 936), (36, 468, 954), (36, 486, 918), (54, 486, 918), (54, 468, 918), (54, 486, 954), (54, 468, 954), (54, 486, 936), (36, 486, 918)]	(9893, 11373, 10119, 11025, 11717, 12829, 6823, 7704, 4937, 7440, 6851, 6792, 4831, 6718, 9098, 14432, 12897, 21172, 15411, 9143, 17520, 15102, 13378, 2125)
left	q	573081	(568, 461)	[(36, 468, 918), (36, 468, 936), (36, 468, 936), (54, 486, 954), (36, 468, 936), (36, 468, 936), (36, 486, 936), (36, 468, 918), (36, 468, 918), (54, 486, 936), (36, 468, 918), (36, 468, 936), (36, 486, 936), (36, 468, 936), (36, 468, 936), (36, 450, 936), (36, 468, 954), (36, 468, 936), (54, 468, 918), (36, 468, 936), (54, 486, 936), (36, 468, 936), (18, 468, 936), (36, 468, 954), (36, 486, 918)]	(9921, 11380, 10142, 11023, 11730, 13091, 6795, 7696, 4898, 7413, 6837, 6782, 4823, 6724, 9003, 14380, 12913, 21096, 15418, 9144, 17558, 15133, 13372, 2139)
right	j	574669	(675, 137)	[(36, 468, 954), (36, 468, 954), (36, 468, 918), (36, 468, 918), (54, 486, 918), (36, 468, 936), (36, 468, 954), (36, 486, 918), (36, 468, 954), (36, 468, 936), (36, 468, 918), (36, 486, 936), (36, 468, 936), (36, 486, 918), (36, 468, 936), (36, 468, 936), (36, 468, 936), (36, 450, 936), (54, 468, 918), (54, 468, 936), (18, 468, 936), (54, 468, 936), (36, 468, 954), (36, 468, 936), (18, 468, 936)]	(9934, 11416, 10166, 11053, 11761, 13255, 6941, 7782, 4951, 7541, 6897, 6849, 4820, 6737, 9042, 14499, 12917, 21065, 15374, 9146, 17584, 15129, 13379, 2136)
left	o	576685	(596, 82)	[(36, 468, 954), (36, 468, 936), (36, 468, 918), (18, 468, 936), (0, 468, 990), (-54, 450, 954), (72, 522, 918), (90, 522, 918), (126, 522, 900), (108, 522, 954), (90, 522, 936), (90, 522, 864), (72, 522, 900), (126, 540, 864), (144, 522, 864), (108, 522, 846), (126, 540, 900), (162, 522, 954), (144, 540, 954), (108, 522, 900), (126, 522, 936), (144, 522, 864), (144, 504, 810), (162, 540, 972), (126, 522, 972)]	(9806, 11137, 10085, 11019, 11638, 10682, 5770, 8265, 5000, 7305, 7074, 6925, 4819, 6717, 8689, 14470, 12705, 20916, 15601, 9082, 17340, 14934, 13305, 2117)
left	x	578387	(739, 352)	[(36, 486, 900), (18, 486, 918), (36, 504, 900), (36, 486, 936), (18, 504, 918), (18, 486, 918), (18, 486, 936), (36, 486, 936), (36, 486, 918), (36, 504, 918), (36, 504, 936), (36, 486, 936), (54, 486, 918), (18, 504, 936), (36, 504, 900), (36, 504, 900), (36, 486, 918), (36, 504, 918), (36, 504, 936), (36, 504, 918), (36, 504, 936), (18, 486, 954), (36, 486, 918), (36, 486, 900), (36, 486, 900)]	(9892, 11414, 10169, 11020, 11779, 13361, 7062, 7611, 4984, 7934, 6968, 6776, 4760, 6855, 8989, 14075, 13076, 21059, 15453, 9179, 17867, 15282, 13395, 2133)
left	d	580693	(658, 346)	[(36, 486, 918), (18, 486, 918), (54, 486, 918), (36, 504, 918), (36, 504, 936), (36, 504, 918), (54, 504, 918), (36, 486, 936), (36, 486, 918), (54, 504, 936), (36, 486, 918), (36, 504, 936), (36, 504, 918), (36, 504, 918), (36, 504, 918), (36, 486, 936), (36, 486, 918), (54, 504, 918), (54, 486, 918), (18, 468, 918), (36, 486, 936), (18, 486, 954), (54, 504, 954), (54, 504, 918), (36, 504, 900)]	(9943, 11453, 10212, 11061, 11795, 13521, 6974, 7588, 5041, 8099, 7009, 6745, 4793, 6864, 9007, 14370, 13094, 21021, 15520, 9183, 17845, 15257, 13393, 2131)
right	o	582328	(582, 81)	[(36, 486, 918), (18, 486, 918), (36, 486, 936), (36, 504, 936), (18, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 936), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 936), (36, 504, 936), (36, 486, 918), (36, 486, 954), (18, 504, 882), (36, 486, 936), (36, 486, 954), (54, 504, 936), (18, 486, 936), (36, 468, 936), (36, 486, 900)]	(9930, 11471, 10240, 11093, 11853, 14003, 7127, 7669, 5040, 8182, 7119, 6851, 4838, 6912, 9063, 14292, 13135, 21049, 15465, 9177, 17840, 15256, 13399, 2135)
