Please hold the phone in both hands. At each letter you will be instructed which thumb to use
right	b	216203	(735, 195)	[(-108, 720, 756), (-108, 720, 756), (-90, 720, 738), (-108, 720, 720), (-108, 720, 738), (-108, 738, 756), (-108, 720, 774), (-108, 738, 756), (-108, 720, 738), (-108, 720, 756), (-108, 738, 756), (-108, 720, 774), (-108, 720, 756), (-108, 738, 756), (-90, 738, 756), (-108, 720, 756), (-108, 720, 756), (-126, 738, 756), (-108, 738, 702), (-108, 738, 702), (-108, 756, 738), (-126, 738, 756), (-108, 738, 720), (-108, 738, 738), (-126, 738, 774)]	(9371, 10634, 9201, 9838, 11360, 10337, 6655, 8342, 6229, 6989, 6955, 8588, 5662, 6536, 7341, 13660, 11150, 19526, 14182, 8741, 15188, 13313, 12049, 1947)
left	h	218962	(663, 191)	[(18, 720, 756), (0, 738, 738), (18, 756, 756), (18, 756, 720), (18, 756, 702), (0, 774, 684), (0, 774, 684), (36, 756, 738), (18, 774, 738), (0, 774, 684), (18, 756, 684), (36, 774, 720), (36, 774, 738), (18, 774, 738), (36, 792, 702), (36, 774, 702), (36, 774, 684), (36, 792, 666), (72, 792, 648), (18, 792, 702), (18, 774, 756), (18, 774, 756), (36, 792, 702), (54, 792, 702), (54, 774, 630)]	(9407, 10468, 9174, 9844, 11366, 9855, 5600, 7692, 5947, 6973, 6790, 8206, 5825, 8001, 7353, 10186, 11120, 19529, 14165, 8824, 15261, 13595, 12056, 1946)
right	x	220853	(731, 333)	[(-126, 738, 738), (-108, 738, 720), (-144, 720, 738), (-144, 720, 756), (-126, 720, 756), (-144, 720, 756), (-126, 738, 774), (-162, 738, 792), (-180, 720, 756), (-162, 720, 720), (-144, 738, 756), (-162, 738, 738), (-162, 738, 738), (-162, 738, 720), (-144, 738, 738), (-144, 738, 720), (-162, 756, 720), (-180, 738, 738), (-162, 756, 720), (-180, 756, 684), (-216, 756, 702), (-198, 756, 684), (-198, 756, 666), (-180, 756, 702), (-180, 756, 702)]	(9385, 11053, 9887, 10552, 11366, 9720, 5007, 9863, 5293, 6917, 6495, 8085, 5488, 6360, 7341, 13858, 11149, 19515, 14214, 8755, 15210, 13347, 12046, 1940)
left	b	223904	(736, 212)	[(-36, 720, 774), (-54, 720, 756), (-36, 720, 738), (-36, 720, 774), (-36, 720, 792), (-54, 720, 792), (-54, 720, 774), (-36, 738, 774), (-36, 720, 756), (-36, 756, 702), (0, 756, 684), (-18, 756, 720), (0, 756, 720), (-18, 756, 738), (0, 774, 738), (18, 774, 702), (18, 756, 702), (18, 756, 702), (18, 756, 720), (36, 774, 720), (36, 756, 702), (18, 774, 720), (18, 756, 720), (18, 792, 720), (36, 756, 738)]	(9374, 10622, 9238, 9934, 11418, 10646, 6469, 8030, 5922, 7034, 6813, 8207, 5517, 7300, 7309, 9644, 11146, 19592, 14242, 8900, 15405, 13674, 12084, 1954)
left	u	226412	(559, 159)	[(-108, 720, 756), (-108, 702, 756), (-126, 720, 774), (-126, 720, 774), (-126, 702, 774), (-108, 720, 792), (-144, 720, 774), (-126, 720, 756), (-126, 702, 774), (-126, 720, 756), (-126, 720, 738), (-144, 720, 756), (-126, 720, 774), (-126, 702, 756), (-126, 738, 738), (-144, 720, 738), (-126, 720, 756), (-126, 702, 738), (-126, 720, 738), (-144, 720, 738), (-126, 738, 738), (-126, 720, 774), (-126, 738, 738), (-126, 720, 720), (-144, 720, 720)]	(9365, 10832, 9329, 10010, 11354, 10294, 5914, 9122, 5382, 6959, 6668, 8902, 5657, 6432, 7353, 13630, 11143, 19515, 14186, 8744, 15190, 13310, 12051, 1941)
left	i	236909	(560, 130)	[(-36, 702, 774), (-36, 702, 792), (0, 702, 810), (-36, 684, 846), (0, 702, 828), (-36, 684, 756), (0, 720, 756), (18, 702, 738), (18, 702, 738), (-18, 702, 738), (18, 720, 756), (18, 702, 792), (18, 702, 792), (0, 720, 792), (0, 702, 738), (18, 720, 774), (18, 720, 738), (36, 720, 702), (18, 702, 720), (18, 702, 756), (0, 702, 792), (0, 738, 846), (18, 702, 792), (36, 720, 720), (36, 720, 648)]	(9370, 10952, 9572, 10420, 11440, 10630, 6815, 8021, 6648, 7058, 6890, 7368, 5328, 8045, 7382, 9403, 11435, 19660, 14311, 8927, 15489, 14134, 12143, 1945)
right	j	239795	(642, 155)	[(-72, 666, 810), (-72, 666, 792), (-72, 666, 810), (-54, 666, 792), (-72, 666, 810), (-90, 684, 792), (-90, 684, 810), (-72, 684, 810), (-90, 666, 792), (-90, 684, 756), (-72, 666, 774), (-90, 684, 828), (-72, 684, 810), (-90, 684, 792), (-90, 684, 774), (-72, 684, 792), (-72, 684, 774), (-90, 684, 738), (-108, 702, 738), (-90, 702, 774), (-90, 702, 828), (-108, 702, 810), (-126, 684, 774), (-108, 702, 738), (-90, 702, 738)]	(9351, 10854, 9517, 10068, 11370, 10528, 6295, 9724, 6182, 7019, 8125, 7456, 5441, 6696, 7376, 12409, 11268, 19571, 14232, 8818, 15260, 13410, 12081, 1943)
left	n	242279	(735, 156)	[(18, 684, 774), (0, 684, 756), (18, 702, 756), (-36, 702, 792), (-36, 684, 810), (0, 684, 810), (18, 684, 810), (0, 684, 792), (36, 702, 774), (36, 702, 774), (54, 720, 774), (54, 702, 756), (54, 702, 756), (36, 702, 756), (36, 720, 792), (54, 720, 792), (36, 720, 774), (36, 720, 756), (54, 702, 756), (72, 702, 756), (54, 720, 738), (54, 720, 720), (54, 720, 756), (54, 720, 738), (72, 720, 756)]	(9373, 10792, 9308, 10020, 11435, 10676, 6655, 7900, 6312, 7032, 6932, 7289, 5274, 7311, 7353, 10419, 11337, 19630, 14271, 8932, 15435, 13910, 12122, 1945)
left	o	242675	(735, 156)	[(0, 684, 792), (36, 702, 774), (36, 702, 774), (54, 720, 774), (54, 702, 756), (54, 702, 756), (36, 702, 756), (36, 720, 792), (54, 720, 792), (36, 720, 774), (36, 720, 756), (54, 702, 756), (72, 702, 756), (54, 720, 738), (54, 720, 720), (54, 720, 756), (54, 720, 738), (72, 720, 756), (72, 720, 756), (72, 720, 756), (54, 720, 738), (72, 720, 756), (18, 702, 756), (0, 702, 738), (0, 702, 756)]	(9355, 10798, 9342, 10056, 11381, 10466, 6402, 8148, 6082, 6999, 7096, 7213, 5319, 6817, 7361, 11979, 11380, 19595, 14230, 8898, 15352, 13723, 12092, 1935)
left	n	245253	(738, 159)	[(18, 720, 774), (36, 720, 774), (18, 702, 774), (18, 702, 774), (18, 720, 756), (36, 720, 756), (36, 720, 756), (18, 720, 792), (18, 702, 774), (36, 720, 738), (36, 738, 756), (36, 720, 774), (54, 702, 774), (54, 720, 738), (54, 720, 738), (54, 720, 756), (36, 738, 738), (54, 720, 738), (72, 720, 720), (36, 756, 720), (18, 720, 774), (36, 738, 792), (54, 738, 774), (54, 720, 720), (90, 738, 648)]	(9378, 10881, 9390, 10164, 11435, 10695, 6614, 7980, 6235, 7021, 7012, 7265, 5358, 7501, 7374, 11465, 11352, 19610, 14237, 8912, 15397, 13843, 12111, 1954)
