Please hold the phone in both hands. At each letter you will be instructed which thumb to use
left	p	566111	(590, 29)	[(18, 486, 918), (18, 468, 954), (18, 486, 954), (54, 450, 936), (54, 468, 936), (54, 450, 954), (18, 468, 918), (36, 450, 936), (36, 468, 936), (36, 486, 936), (18, 468, 954), (36, 450, 990), (0, 450, 972), (-90, 504, 972), (18, 468, 990), (36, 450, 954), (54, 540, 738), (126, 522, 828), (198, 522, 900), (198, 522, 936), (162, 522, 900), (126, 540, 882), (108, 522, 846), (144, 540, 846), (108, 540, 918)]	(9820, 11150, 10116, 11053, 11604, 10947, 7040, 7967, 4935, 7107, 7635, 6941, 4770, 6481, 7878, 14513, 12357, 21211, 17665, 9196, 17890, 15306, 13563, 2140)
right	c	567789	(747, 288)	[(54, 486, 936), (54, 486, 936), (36, 450, 936), (36, 468, 900), (36, 450, 882), (36, 468, 918), (36, 450, 972), (72, 486, 972), (72, 486, 972), (36, 486, 936), (36, 468, 936), (36, 468, 882), (36, 468, 882), (18, 468, 882), (36, 486, 918), (36, 468, 972), (18, 468, 954), (0, 486, 918), (18, 468, 918), (18, 486, 900), (18, 468, 918), (0, 450, 936), (0, 468, 990), (18, 486, 954), (36, 486, 936)]	(10026, 11515, 10276, 11066, 11759, 13185, 7027, 7423, 4893, 8332, 6773, 6667, 4801, 6773, 9587, 13964, 12958, 21303, 15545, 9209, 18030, 15321, 13425, 2141)
left	g	569854	(643, 246)	[(18, 468, 936), (36, 468, 972), (18, 468, 936), (18, 468, 936), (36, 468, 918), (18, 468, 918), (18, 468, 936), (36, 486, 954), (36, 486, 936), (36, 450, 954), (36, 468, 918), (18, 468, 954), (36, 468, 954), (36, 468, 954), (0, 468, 936), (36, 468, 918), (18, 468, 972), (36, 486, 882), (54, 504, 918), (54, 504, 936), (54, 486, 936), (54, 504, 918), (54, 468, 918), (72, 504, 882), (54, 486, 882)]	(9929, 11400, 10212, 11085, 11739, 12622, 6819, 7705, 4907, 8165, 6839, 6755, 4890, 6835, 9577, 14426, 13055, 21393, 15604, 9193, 17799, 15229, 13429, 2135)
left	q	571815	(563, 470)	[(54, 486, 900), (36, 468, 918), (36, 468, 936), (36, 486, 918), (36, 468, 972), (54, 486, 954), (36, 486, 936), (36, 468, 918), (36, 468, 936), (36, 468, 936), (36, 468, 918), (54, 468, 954), (36, 486, 936), (36, 486, 918), (18, 468, 936), (18, 468, 936), (36, 468, 936), (36, 468, 954), (36, 486, 918), (54, 486, 918), (54, 468, 918), (54, 486, 954), (54, 468, 954), (54, 486, 936), (36, 486, 918)]	(9893, 11373, 10119, 11025, 11717, 12829, 6823, 7704, 4937, 7440, 6851, 6792, 4831, 6718, 9098, 14432, 12897, 21172, 15411, 9143, 17520, 15102, 13378, 2125)
left	q	572979	(568, 461)	[(36, 468, 936), (54, 486, 918), (36, 468, 918), (36, 468, 936), (36, 450, 936), (36, 468, 918), (36, 468, 936), (36, 468, 936), (54, 486, 954), (36, 468, 936), (36, 468, 936), (36, 486, 936), (36, 468, 918), (36, 468, 918), (54, 486, 936), (36, 468, 918), (36, 468, 936), (36, 486, 936), (36, 468, 936), (36, 468, 936), (36, 450, 936), (36, 468, 954), (36, 468, 936), (54, 468, 918), (36, 468, 936)]	(9890, 11354, 10101, 11000, 11725, 13010, 6809, 7609, 4918, 7435, 6846, 6739, 4778, 6709, 9085, 14321, 12913, 21109, 15390, 9135, 17536, 15096, 13364, 2135)
right	j	574567	(675, 137)	[(36, 486, 918), (36, 468, 936), (36, 468, 918), (36, 468, 918), (36, 468, 954), (36, 468, 954), (36, 468, 954), (36, 468, 918), (36, 468, 918), (54, 486, 918), (36, 468, 936), (36, 468, 954), (36, 486, 918), (36, 468, 954), (36, 468, 936), (36, 468, 918), (36, 486, 936), (36, 468, 936), (36, 486, 918), (36, 468, 936), (36, 468, 936), (36, 468, 936), (36, 450, 936), (54, 468, 918), (54, 468, 936)]	(9905, 11357, 10102, 11001, 11729, 13064, 6807, 7589, 4896, 7505, 6807, 6722, 4789, 6712, 9042, 14333, 12896, 21060, 15336, 17532, 15113, 13365, 2128, 65535)
left	o	576526	(596, 82)	[(18, 450, 936), (36, 468, 918), (36, 468, 936), (36, 450, 936), (36, 468, 954), (36, 468, 936), (54, 468, 936), (36, 486, 936), (36, 468, 954), (36, 468, 936), (36, 468, 918), (18, 468, 936), (0, 468, 990), (-54, 450, 954), (72, 522, 918), (90, 522, 918), (126, 522, 900), (108, 522, 954), (90, 522, 936), (90, 522, 864), (72, 522, 900), (126, 540, 864), (144, 522, 864), (108, 522, 846), (126, 540, 900)]	(9832, 11143, 10095, 11020, 11644, 10543, 5720, 8105, 4826, 7236, 6980, 6853, 4828, 6671, 8198, 14582, 12598, 20858, 15815, 17372, 14970, 13355, 2120, 65535)
left	x	578269	(739, 352)	[(36, 504, 918), (36, 504, 936), (36, 486, 918), (36, 504, 936), (18, 486, 918), (36, 486, 900), (18, 486, 918), (36, 504, 900), (36, 486, 936), (18, 504, 918), (18, 486, 918), (18, 486, 936), (36, 486, 936), (36, 486, 918), (36, 504, 918), (36, 504, 936), (36, 486, 936), (54, 486, 918), (18, 504, 936), (36, 504, 900), (36, 504, 900), (36, 486, 918), (36, 504, 918), (36, 504, 936), (36, 504, 918)]	(9902, 11405, 10166, 11026, 11781, 13405, 7032, 7475, 4882, 8065, 6997, 6726, 4809, 6869, 9001, 14116, 13097, 21101, 15497, 9190, 17929, 15322, 13425, 2135)
left	d	580592	(658, 346)	[(18, 486, 918), (36, 486, 936), (36, 486, 936), (36, 486, 918), (36, 504, 918), (36, 486, 918), (18, 486, 918), (54, 486, 918), (36, 504, 918), (36, 504, 936), (36, 504, 918), (54, 504, 918), (36, 486, 936), (36, 486, 918), (54, 504, 936), (36, 486, 918), (36, 504, 936), (36, 504, 918), (36, 504, 918), (36, 504, 918), (36, 486, 936), (36, 486, 918), (54, 504, 918), (54, 486, 918), (18, 468, 918)]	(9946, 11435, 10196, 11055, 11792, 13496, 7004, 7568, 4952, 8111, 6972, 6775, 4811, 6875, 9006, 14394, 13104, 21001, 15532, 9184, 17879, 15292, 13406, 2126)
right	o	582226	(582, 81)	[(36, 486, 936), (36, 486, 936), (36, 486, 918), (36, 468, 918), (36, 486, 918), (36, 486, 918), (18, 486, 918), (36, 486, 936), (36, 504, 936), (18, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 936), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 918), (36, 486, 936), (36, 504, 936), (36, 486, 918), (36, 486, 954), (18, 504, 882), (36, 486, 936)]	(9922, 11420, 10197, 11045, 11815, 13831, 6979, 7479, 4910, 8154, 6978, 6753, 4822, 6917, 9093, 14306, 13149, 21091, 15506, 9193, 17920, 15314, 13417, 2131)
