Holding the phone the same way, now type with your left thumb
a	2057364	(666, 425)	[(-36, 468, 936), (-54, 468, 936), (-36, 486, 936), (-54, 468, 918), (-54, 468, 936), (-36, 468, 936), (0, 450, 954), (0, 468, 936), (0, 468, 936), (0, 468, 954), (-36, 468, 918), (-36, 468, 918), (-18, 486, 936), (-36, 486, 918), (-18, 468, 936), (-36, 468, 954), (0, 486, 936), (-36, 468, 936), (-36, 468, 918), (-36, 468, 936), (0, 486, 954), (0, 486, 954), (-36, 468, 954), (0, 468, 918), (0, 468, 900)]	(12191, 11744, 10582, 12568, 11694, 10270, 5133, 8447, 5429, 7014, 5854, 6765, 4302, 6549, 7227, 7979, 11970, 20526, 19600, 18267, 16528, 15319, 14033, 1964)
p	2057984	(587, 6)	[(0, 468, 900), (-36, 450, 918), (-54, 450, 990), (36, 486, 936), (18, 486, 918), (18, 504, 918), (54, 504, 918), (36, 522, 918), (36, 522, 900), (54, 540, 882), (72, 540, 882), (54, 540, 900), (36, 540, 882), (36, 540, 882), (36, 540, 882), (36, 540, 900), (54, 540, 864), (90, 540, 936), (36, 522, 936), (18, 540, 900), (36, 540, 864), (36, 540, 918), (18, 522, 918), (54, 540, 882), (36, 540, 846)]	(12361, 11997, 10589, 12605, 11648, 9989, 4537, 11727, 5521, 7021, 5698, 6804, 4282, 6337, 7234, 7677, 11919, 20600, 19690, 18244, 16455, 15238, 14265, 1974)
p	2058233	(583, 6)	[(54, 504, 918), (36, 522, 918), (36, 522, 900), (54, 540, 882), (72, 540, 882), (54, 540, 900), (36, 540, 882), (36, 540, 882), (36, 540, 882), (36, 540, 900), (54, 540, 864), (90, 540, 936), (36, 522, 936), (18, 540, 900), (36, 540, 864), (36, 540, 918), (18, 522, 918), (54, 540, 882), (36, 540, 846), (18, 522, 900), (72, 540, 954), (18, 522, 954), (-18, 540, 918), (18, 522, 864), (36, 522, 846)]	(12341, 11977, 10555, 12504, 11645, 9996, 4582, 11898, 5605, 7043, 5718, 6722, 4274, 6334, 7237, 7671, 11920, 20560, 19699, 18106, 16366, 15127, 14051, 1964)
r	2058756	(580, 319)	[(18, 522, 900), (72, 540, 954), (18, 522, 954), (-18, 540, 918), (18, 522, 864), (36, 522, 846), (72, 522, 882), (36, 540, 972), (18, 540, 864), (36, 522, 864), (0, 522, 864), (-36, 522, 864), (18, 522, 882), (54, 522, 918), (36, 540, 954), (0, 540, 918), (36, 522, 918), (54, 522, 864), (18, 522, 918), (0, 522, 918), (18, 522, 936), (18, 522, 918), (18, 522, 864), (18, 540, 864), (18, 522, 882)]	(12239, 11847, 10494, 12327, 11626, 9946, 4574, 11414, 5554, 7030, 5752, 7086, 4296, 6306, 7226, 7639, 11860, 20525, 19361, 18162, 16466, 15195, 14041, 1968)
o	2059128	(603, 69)	[(18, 522, 882), (54, 522, 918), (36, 540, 954), (0, 540, 918), (36, 522, 918), (54, 522, 864), (18, 522, 918), (0, 522, 918), (18, 522, 936), (18, 522, 918), (18, 522, 864), (18, 540, 864), (18, 522, 882), (0, 522, 918), (0, 540, 900), (54, 522, 900), (36, 540, 900), (54, 522, 918), (36, 504, 900), (18, 522, 900), (18, 522, 864), (18, 522, 918), (18, 540, 954), (36, 540, 900), (36, 540, 828)]	(12391, 11961, 10507, 12342, 11634, 9961, 4615, 11578, 5579, 7037, 5762, 7119, 4307, 6313, 7223, 7653, 11887, 20537, 19247, 18201, 16511, 15160, 14169, 1971)
x	2059745	(755, 324)	[(36, 540, 900), (36, 540, 828), (-36, 522, 954), (18, 522, 900), (18, 522, 900), (18, 522, 918), (18, 522, 918), (18, 522, 936), (36, 522, 918), (18, 522, 900), (0, 522, 936), (0, 522, 936), (-18, 522, 900), (18, 504, 900), (0, 504, 900), (0, 522, 954), (0, 522, 918), (0, 522, 882), (18, 540, 828), (18, 540, 900), (0, 522, 918), (18, 522, 954), (18, 522, 864), (18, 522, 864), (0, 522, 918)]	(12156, 11823, 10482, 12382, 11613, 9915, 4651, 11010, 5537, 7009, 5797, 7162, 4269, 6278, 7206, 7628, 11831, 20516, 19262, 18201, 16571, 15395, 14111, 1954)
i	2060196	(572, 113)	[(0, 522, 918), (0, 522, 882), (18, 540, 828), (18, 540, 900), (0, 522, 918), (18, 522, 954), (18, 522, 864), (18, 522, 864), (0, 522, 918), (18, 540, 900), (0, 522, 900), (36, 540, 882), (36, 522, 900), (0, 522, 882), (18, 540, 918), (0, 522, 900), (18, 540, 900), (18, 522, 900), (18, 504, 936), (90, 540, 864), (36, 540, 918), (36, 540, 936), (36, 540, 936), (18, 522, 918), (54, 540, 864)]	(12387, 11908, 10465, 12291, 11620, 9938, 4606, 11646, 5482, 7022, 5776, 7113, 4298, 6310, 7229, 7683, 11898, 20556, 19354, 18275, 16525, 15108, 14088, 1963)
m	2060613	(742, 97)	[(18, 540, 918), (0, 522, 900), (18, 540, 900), (18, 522, 900), (18, 504, 936), (90, 540, 864), (36, 540, 918), (36, 540, 936), (36, 540, 936), (18, 522, 918), (54, 540, 864), (36, 522, 972), (0, 522, 900), (-36, 504, 864), (-54, 486, 882), (-18, 504, 954), (54, 522, 936), (72, 540, 882), (36, 522, 918), (18, 504, 936), (18, 504, 918), (0, 504, 900), (18, 522, 900), (54, 540, 828), (18, 540, 900)]	(12228, 11869, 10510, 12433, 11642, 9961, 4633, 11631, 5507, 7044, 5781, 6863, 4290, 6325, 7242, 7703, 11942, 20573, 19737, 18249, 16518, 15232, 13848, 1961)
a	2061061	(669, 422)	[(54, 522, 936), (72, 540, 882), (36, 522, 918), (18, 504, 936), (18, 504, 918), (0, 504, 900), (18, 522, 900), (54, 540, 828), (18, 540, 900), (-18, 504, 900), (-54, 504, 900), (-36, 504, 918), (18, 522, 918), (18, 522, 936), (18, 522, 936), (-18, 522, 954), (0, 522, 900), (36, 540, 864), (36, 522, 864), (18, 522, 882), (0, 522, 918), (-36, 522, 954), (-36, 504, 954), (0, 522, 882), (0, 522, 882)]	(12196, 11884, 10493, 12420, 11609, 9893, 4711, 8856, 5241, 6956, 5771, 7260, 4267, 6286, 7201, 7650, 11827, 20521, 19432, 18320, 16627, 15405, 14041, 1958)
t	2061580	(592, 262)	[(18, 522, 882), (0, 522, 918), (-36, 522, 954), (-36, 504, 954), (0, 522, 882), (0, 522, 882), (0, 522, 900), (-36, 504, 918), (0, 504, 936), (18, 522, 954), (18, 522, 900), (36, 522, 918), (0, 522, 900), (0, 504, 918), (18, 522, 882), (18, 522, 918), (36, 504, 900), (18, 522, 936), (18, 522, 954), (18, 504, 918), (18, 522, 936), (18, 522, 900), (36, 522, 900), (18, 522, 900), (0, 522, 918)]	(12286, 11828, 10420, 12195, 11619, 9920, 4681, 10092, 5360, 6996, 5805, 6900, 4289, 6312, 7228, 7679, 11875, 20544, 19502, 18308, 16560, 15264, 13948, 1957)
e	2061928	(570, 362)	[(36, 522, 918), (0, 522, 900), (0, 504, 918), (18, 522, 882), (18, 522, 918), (36, 504, 900), (18, 522, 936), (18, 522, 954), (18, 504, 918), (18, 522, 936), (18, 522, 900), (36, 522, 900), (18, 522, 900), (0, 522, 918), (18, 504, 918), (18, 504, 882), (-18, 522, 900), (-36, 504, 900), (18, 522, 936), (54, 522, 900), (18, 522, 936), (18, 522, 936), (0, 522, 936), (0, 504, 882), (18, 504, 900)]	(12272, 11795, 10398, 12114, 11612, 9907, 4631, 10087, 5291, 6993, 5776, 6815, 4289, 6310, 7229, 7682, 11883, 20540, 19425, 18264, 16477, 15098, 13979, 1963)
l	2062498	(680, 17)	[(0, 522, 936), (0, 504, 882), (18, 504, 900), (18, 504, 918), (18, 504, 918), (18, 522, 918), (0, 504, 918), (18, 504, 936), (0, 504, 918), (18, 522, 918), (36, 522, 918), (18, 504, 918), (18, 504, 900), (-18, 504, 918), (0, 504, 954), (18, 522, 918), (36, 522, 918), (0, 504, 918), (-18, 504, 936), (0, 504, 918), (0, 504, 936), (0, 522, 954), (18, 504, 936), (18, 504, 864), (18, 504, 882)]	(12269, 11868, 10460, 12277, 11620, 9942, 4624, 10590, 5337, 6993, 5782, 6662, 4297, 6336, 7241, 7706, 11940, 20582, 19808, 18281, 16455, 15085, 13874, 1973)
