Please hold the phone in your right hand and type with your left index finger
k	381486	(666, 107)	[(36, 756, 756), (54, 738, 756), (36, 738, 756), (36, 756, 756), (72, 756, 756), (72, 738, 738), (54, 756, 738), (90, 756, 738), (54, 756, 756), (54, 756, 738), (54, 774, 738), (72, 756, 720), (54, 756, 738), (54, 756, 738), (54, 774, 720), (72, 756, 738), (36, 756, 702), (72, 756, 756), (36, 756, 774), (36, 738, 756), (72, 756, 702), (36, 756, 756), (36, 756, 756), (72, 774, 702), (108, 756, 666)]	(9476, 11726, 11204, 13096, 11595, 9688, 4682, 7603, 4123, 6840, 5948, 5896, 4362, 6124, 7195, 9854, 11381, 19966, 19265, 9324, 16443, 14095, 12007, 1956)
h	383743	(669, 201)	[(54, 756, 756), (36, 756, 756), (36, 756, 738), (36, 738, 720), (72, 756, 702), (36, 774, 774), (54, 738, 720), (54, 756, 756), (36, 756, 756), (36, 756, 774), (90, 738, 738), (54, 756, 738), (18, 738, 756), (54, 738, 738), (54, 756, 720), (18, 738, 756), (18, 756, 756), (54, 756, 774), (54, 756, 738), (54, 756, 756), (54, 756, 738), (72, 756, 720), (72, 756, 720), (36, 756, 756), (18, 756, 774)]	(9472, 11689, 11174, 13105, 11590, 9741, 4620, 7605, 4197, 6834, 5763, 5951, 4360, 6120, 7195, 9905, 11371, 19966, 19201, 9335, 16466, 14105, 12001, 1957)
g	386044	(662, 239)	[(36, 738, 756), (18, 738, 756), (36, 738, 756), (36, 738, 774), (36, 738, 756), (36, 738, 756), (36, 738, 756), (54, 738, 756), (54, 738, 774), (18, 738, 756), (18, 738, 756), (54, 738, 738), (72, 756, 738), (36, 756, 756), (54, 738, 756), (72, 756, 720), (36, 756, 738), (36, 756, 756), (54, 738, 774), (36, 738, 774), (18, 738, 756), (54, 756, 738), (72, 756, 720), (54, 756, 720), (54, 738, 720)]	(9488, 11703, 11186, 13135, 11590, 9708, 4566, 4266, 6837, 5863, 5912, 0, 4355, 6110, 7190, 9954, 11372, 19972, 19235, 9339, 16480, 14117, 11999, 1945)
k	387862	(671, 114)	[(54, 738, 738), (36, 756, 756), (54, 738, 738), (36, 756, 756), (36, 738, 756), (54, 756, 738), (54, 756, 720), (54, 738, 774), (36, 756, 774), (54, 756, 738), (54, 756, 720), (54, 756, 738), (54, 738, 774), (36, 756, 738), (72, 738, 738), (36, 738, 738), (36, 738, 756), (36, 738, 738), (36, 738, 756), (36, 738, 756), (54, 756, 756), (54, 756, 738), (54, 756, 738), (72, 756, 738), (36, 756, 756)]	(9470, 11678, 11165, 13087, 11582, 9673, 4573, 7566, 4164, 6846, 5831, 5880, 4383, 6109, 7194, 9971, 11368, 19962, 19156, 9335, 16456, 14103, 11996, 1948)
b	390247	(751, 207)	[(18, 738, 756), (36, 738, 756), (54, 738, 738), (54, 756, 756), (18, 756, 774), (36, 738, 756), (36, 738, 702), (36, 738, 792), (36, 756, 792), (36, 738, 756), (54, 738, 756), (36, 738, 756), (18, 738, 774), (36, 720, 738), (54, 738, 738), (36, 738, 810), (36, 738, 774), (36, 738, 738), (36, 738, 756), (18, 738, 792), (54, 738, 756), (54, 738, 756), (54, 756, 720), (54, 756, 720), (72, 756, 756)]	(9480, 11715, 11190, 13170, 11593, 9705, 4555, 7645, 4236, 6895, 5813, 5930, 4380, 6125, 7194, 10037, 11378, 19974, 19275, 9345, 16504, 14128, 12010, 1951)
g	392089	(655, 247)	[(36, 738, 738), (18, 738, 774), (54, 738, 738), (18, 738, 738), (36, 738, 774), (18, 738, 792), (36, 738, 792), (72, 738, 720), (36, 738, 774), (54, 756, 756), (36, 738, 756), (18, 738, 756), (36, 738, 738), (54, 756, 756), (18, 738, 774), (18, 720, 774), (54, 738, 738), (36, 738, 774), (54, 756, 756), (54, 756, 738), (54, 738, 756), (54, 738, 738), (36, 756, 756), (54, 738, 756), (36, 756, 702)]	(9475, 11678, 11171, 13103, 11584, 9732, 4565, 7730, 4244, 6824, 5847, 6008, 4381, 6122, 7194, 10041, 11367, 19954, 19151, 9327, 16448, 14087, 11997, 1955)
w	393270	(621, 358)	[(18, 738, 774), (54, 738, 774), (18, 738, 756), (54, 738, 738), (72, 738, 720), (54, 756, 792), (54, 738, 792), (18, 720, 774), (36, 738, 738), (54, 720, 738), (18, 738, 774), (18, 738, 774), (36, 738, 774), (54, 738, 756), (18, 720, 792), (54, 738, 756), (36, 738, 774), (18, 738, 774), (36, 738, 756), (36, 720, 756), (36, 738, 756), (54, 738, 792), (36, 738, 774), (18, 720, 774), (36, 720, 720)]	(9475, 11683, 11163, 13123, 11586, 9713, 4624, 7703, 4288, 6855, 5775, 5924, 4369, 6123, 7178, 10127, 11364, 19974, 19223, 9342, 16487, 14124, 12004, 1962)
f	396665	(668, 289)	[(54, 738, 810), (36, 738, 792), (36, 738, 756), (54, 720, 720), (36, 720, 756), (0, 720, 792), (36, 738, 792), (36, 720, 756), (36, 720, 774), (54, 738, 774), (36, 720, 756), (18, 720, 774), (54, 720, 774), (54, 738, 774), (36, 720, 792), (36, 720, 756), (54, 720, 774), (36, 720, 792), (36, 738, 792), (54, 738, 738), (36, 738, 756), (54, 720, 756), (36, 738, 756), (36, 720, 810), (54, 720, 774)]	(9471, 11721, 11196, 13145, 11581, 9730, 4701, 7820, 4138, 6892, 5803, 6005, 4359, 6128, 7184, 10145, 11366, 19982, 19312, 9355, 16493, 14122, 12005, 1960)
b	398826	(736, 210)	[(36, 738, 756), (54, 756, 810), (36, 738, 774), (54, 738, 738), (36, 738, 720), (54, 720, 774), (36, 738, 792), (36, 720, 792), (54, 720, 756), (36, 720, 774), (18, 738, 774), (54, 738, 756), (54, 738, 756), (54, 738, 774), (36, 720, 792), (54, 738, 756), (54, 738, 756), (36, 738, 774), (18, 720, 774), (18, 720, 756), (54, 738, 756), (18, 738, 756), (18, 720, 810), (36, 738, 756), (54, 720, 702)]	(9482, 11704, 11178, 13110, 11573, 9688, 4702, 7630, 4092, 6917, 5907, 5896, 4390, 6119, 7197, 10147, 11359, 19961, 19299, 9348, 16503, 14123, 12000, 1948)
r	400740	(578, 303)	[(90, 738, 756), (36, 738, 792), (54, 738, 774), (36, 720, 738), (72, 738, 738), (54, 738, 756), (36, 720, 756), (54, 720, 756), (36, 738, 756), (36, 738, 774), (54, 738, 774), (54, 738, 792), (72, 756, 738), (54, 738, 720), (54, 738, 738), (90, 756, 738), (72, 756, 738), (54, 756, 756), (54, 738, 774), (36, 738, 774), (54, 756, 774), (54, 756, 756), (54, 756, 738), (72, 738, 702), (54, 756, 720)]	(9476, 11675, 11214, 13169, 11598, 9695, 4604, 7698, 4111, 6906, 5946, 5897, 4365, 6109, 7190, 10039, 11388, 19982, 19282, 9351, 16495, 14119, 12007, 1948)
e	402238	(587, 361)	[(36, 720, 774), (36, 720, 756), (54, 720, 756), (54, 738, 774), (54, 720, 774), (36, 738, 792), (36, 738, 756), (72, 738, 720), (36, 738, 756), (36, 720, 774), (18, 720, 774), (54, 720, 738), (90, 738, 774), (36, 738, 774), (18, 738, 774), (54, 738, 756), (54, 720, 756), (90, 756, 720), (36, 738, 774), (54, 738, 738), (72, 738, 738), (36, 738, 792), (54, 738, 738), (54, 720, 756), (54, 738, 792)]	(9484, 11727, 11212, 13209, 11593, 9734, 4678, 7767, 4157, 6882, 5933, 5893, 4382, 6113, 7191, 10189, 11372, 19971, 19266, 9348, 16501, 14113, 12002, 1941)
j	402631	(586, 360)	[(72, 738, 720), (36, 738, 756), (36, 720, 774), (18, 720, 774), (54, 720, 738), (90, 738, 774), (36, 738, 774), (18, 738, 774), (54, 738, 756), (54, 720, 756), (90, 756, 720), (36, 738, 774), (54, 738, 738), (72, 738, 738), (36, 738, 792), (54, 738, 738), (54, 720, 756), (54, 738, 792), (72, 738, 738), (54, 738, 792), (72, 738, 720), (36, 720, 774), (54, 738, 756), (54, 738, 738), (72, 738, 756)]	(9475, 11666, 11170, 13064, 11582, 9703, 4560, 7827, 4240, 6833, 5805, 5936, 4375, 6104, 7189, 10133, 11357, 19947, 19118, 9332, 16447, 14093, 11999, 1960)
a	407696	(659, 429)	[(54, 720, 810), (36, 738, 792), (18, 720, 792), (36, 720, 756), (54, 720, 774), (18, 720, 792), (18, 720, 774), (54, 720, 774), (54, 720, 756), (18, 720, 756), (36, 738, 774), (54, 720, 756), (72, 738, 846), (54, 720, 792), (36, 738, 774), (36, 702, 774), (54, 738, 720), (36, 738, 792), (72, 738, 720), (108, 738, 720), (36, 738, 774), (36, 720, 792), (54, 720, 756), (54, 720, 756), (54, 738, 756)]	(9471, 11708, 11178, 13133, 11582, 9703, 4633, 7830, 4280, 6893, 5783, 5999, 4369, 6115, 7188, 10250, 11372, 19934, 19229, 9349, 16503, 14115, 11993, 1958)
h	411226	(661, 178)	[(54, 756, 756), (54, 720, 756), (54, 738, 756), (72, 738, 774), (54, 756, 756), (54, 738, 756), (54, 738, 738), (36, 738, 756), (90, 756, 756), (90, 738, 756), (18, 756, 792), (72, 720, 738), (72, 720, 720), (72, 756, 774), (54, 738, 774), (72, 738, 738), (108, 738, 774), (36, 756, 738), (54, 738, 738), (90, 738, 720), (72, 738, 774), (72, 738, 774), (54, 738, 738), (72, 738, 738), (90, 756, 756)]	(9471, 11687, 11171, 13146, 11586, 9680, 4582, 7730, 4289, 6813, 5909, 6048, 4378, 6117, 7190, 10216, 11369, 19972, 19247, 9345, 16508, 14118, 12004, 1954)
u	413126	(581, 160)	[(54, 738, 756), (90, 738, 720), (90, 756, 792), (72, 756, 774), (54, 720, 774), (36, 720, 756), (90, 738, 738), (72, 756, 756), (54, 738, 792), (54, 738, 792), (90, 738, 738), (90, 756, 702), (54, 738, 738), (90, 756, 756), (108, 756, 738), (126, 756, 738), (108, 756, 738), (72, 756, 792), (72, 756, 756), (72, 756, 702), (90, 756, 738), (54, 756, 774), (90, 738, 756), (90, 738, 756), (90, 738, 756)]	(9473, 11672, 11158, 13095, 11587, 9730, 4675, 7760, 4158, 6851, 5828, 5930, 4376, 6119, 7184, 10207, 11357, 19957, 19170, 9335, 16471, 14101, 11987, 1934)
x	415132	(737, 338)	[(36, 738, 756), (72, 720, 738), (72, 738, 756), (54, 738, 792), (36, 720, 774), (72, 720, 774), (72, 720, 756), (54, 738, 738), (54, 738, 756), (54, 738, 756), (54, 720, 774), (72, 738, 774), (54, 720, 774), (36, 720, 774), (54, 738, 756), (72, 720, 756), (54, 738, 756), (36, 738, 756), (36, 720, 774), (54, 720, 756), (54, 756, 774), (54, 738, 756), (54, 738, 756), (36, 738, 756), (54, 720, 774)]	(9481, 11685, 11201, 13161, 11588, 9696, 4605, 7781, 4170, 6893, 5849, 6030, 4372, 6107, 7184, 10317, 11360, 19965, 19204, 9350, 16483, 14115, 12000, 1950)
e	416347	(606, 359)	[(72, 738, 756), (54, 720, 756), (54, 738, 774), (54, 738, 774), (54, 720, 774), (54, 720, 738), (36, 720, 756), (72, 738, 774), (72, 738, 792), (54, 720, 792), (54, 720, 792), (36, 720, 774), (54, 720, 756), (54, 720, 738), (72, 738, 774), (54, 738, 756), (90, 738, 774), (90, 738, 756), (72, 756, 738), (54, 738, 756), (72, 738, 738), (72, 756, 738), (90, 720, 738), (36, 738, 774), (72, 738, 738)]	(9476, 11671, 11197, 13110, 11575, 9730, 4576, 7797, 4219, 6872, 5958, 5897, 4380, 6115, 7190, 10257, 11371, 19981, 19230, 9356, 16504, 14130, 11999, 1958)
a	417984	(663, 424)	[(54, 738, 774), (54, 720, 756), (54, 738, 738), (72, 738, 756), (72, 738, 774), (54, 738, 756), (72, 720, 756), (72, 738, 756), (72, 738, 774), (54, 738, 756), (72, 738, 738), (54, 720, 756), (54, 720, 774), (54, 738, 774), (54, 738, 792), (72, 738, 774), (36, 738, 774), (36, 738, 756), (72, 720, 756), (72, 738, 774), (54, 738, 756), (72, 738, 756), (90, 738, 738), (36, 720, 792), (54, 720, 738)]	(9475, 11692, 11202, 13141, 11590, 9714, 4590, 7915, 4103, 6878, 5922, 6024, 4386, 6112, 7194, 10349, 11367, 19933, 19204, 9357, 16485, 14127, 12000, 1956)
y	422321	(577, 216)	[(126, 612, 846), (180, 630, 864), (216, 612, 864), (126, 612, 810), (162, 630, 828), (198, 630, 864), (198, 612, 810), (198, 630, 810), (180, 630, 828), (180, 630, 846), (198, 630, 828), (180, 630, 810), (180, 612, 828), (162, 630, 846), (180, 612, 846), (162, 630, 810), (162, 630, 828), (216, 612, 864), (198, 630, 846), (162, 612, 828), (162, 630, 810), (198, 630, 846), (198, 630, 828), (180, 630, 828), (180, 630, 756)]	(9466, 11667, 11108, 13047, 11574, 9711, 4654, 7930, 4185, 6795, 5958, 5983, 4400, 6113, 7189, 10385, 11375, 19981, 19266, 9357, 16525, 14138, 12009, 1950)
c	424013	(745, 287)	[(108, 576, 846), (144, 576, 882), (144, 594, 882), (126, 594, 864), (108, 594, 846), (144, 594, 828), (180, 594, 846), (180, 612, 864), (144, 612, 846), (144, 594, 846), (126, 594, 846), (144, 612, 882), (144, 594, 864), (108, 594, 846), (144, 594, 846), (162, 594, 846), (144, 612, 846), (162, 612, 846), (144, 612, 828), (162, 594, 846), (162, 612, 846), (144, 612, 846), (162, 612, 828), (162, 612, 810), (162, 612, 828)]	(9473, 11715, 11172, 13136, 11586, 9695, 4661, 8077, 4172, 6840, 5876, 6051, 4417, 6130, 7205, 10556, 11392, 19990, 19305, 9362, 16549, 14136, 12000, 1962)
f	425736	(663, 284)	[(180, 648, 828), (180, 612, 792), (180, 630, 792), (198, 630, 810), (180, 648, 846), (180, 630, 846), (180, 612, 810), (126, 630, 828), (126, 612, 864), (162, 630, 864), (198, 630, 846), (162, 630, 810), (144, 630, 792), (180, 612, 864), (162, 630, 810), (144, 612, 792), (162, 630, 846), (198, 630, 864), (180, 630, 828), (126, 612, 792), (144, 612, 846), (198, 630, 864), (180, 630, 882), (144, 612, 810), (144, 612, 828)]	(9458, 11693, 11155, 13089, 11571, 9727, 4714, 8025, 4145, 6847, 5888, 5979, 4392, 6125, 7198, 10479, 11374, 19969, 19223, 9358, 16513, 14111, 11995, 1967)
l	427941	(663, 63)	[(162, 630, 846), (144, 612, 846), (144, 612, 828), (162, 630, 828), (198, 630, 828), (162, 612, 864), (144, 612, 810), (144, 612, 846), (144, 612, 846), (162, 612, 810), (162, 630, 828), (162, 612, 846), (180, 630, 846), (144, 612, 828), (126, 612, 828), (144, 612, 828), (216, 630, 864), (180, 630, 864), (126, 612, 810), (126, 594, 810), (198, 630, 846), (216, 630, 864), (144, 612, 846), (108, 612, 828), (180, 612, 774)]	(9469, 11667, 11140, 13109, 11573, 9682, 4642, 7989, 4243, 6878, 5912, 6050, 4414, 6133, 7203, 10512, 11378, 19976, 19291, 9359, 16536, 14141, 11996, 1952)
